          D5   _TRIMLEV       INTR       INTI     INTABS    _ITC_R1     _ITC_V
      2E-005 5.283203125      9.582     -4.184 10.4556482343277     135.04      25.43
  2.7476E-005   5.234375      9.375     -4.035 10.2064611888744     135.05      25.36
  3.7748E-005 5.2490234375      9.108     -4.075 9.9780403386637     134.95      25.74
  5.1859E-005 5.244140625       9.19     -4.064 10.0484922252047     135.02       25.5
  7.1245E-005 5.244140625      8.673     -4.076 9.58304257529935     134.99       25.6
  9.7878E-005   5.234375      8.131     -3.686 8.92747203860085        135      25.61
  0.000134467 5.25390625      7.568     -3.733 8.43859662503191        135       25.6
  0.000184734 5.2587890625      6.666     -3.307 7.4412233537235        135      25.58
  0.000253792 5.263671875      5.658      -2.71 6.27352086152585     135.02       25.5
  0.000348666 5.2490234375       3.89     -1.711 4.2496612806199     135.01      25.48
  0.000479005 5.2783203125       2.26     -0.793 2.39508851610958     134.97      25.71
    0.000658 5.263671875      -0.72      0.618 0.948854045678259     135.02       25.4
    0.000904 5.25390625     -3.335        1.7 3.74329066464254     135.04      25.41
    0.001242 5.2294921875     -6.573      3.279 7.34548636919299        135      25.46
    0.001706 5.2197265625    -11.218      5.277 12.3971873019649     134.97      25.63
    0.002344 5.2197265625     -15.96      7.306 17.5527557950312        135       25.5
    0.003221 5.25390625     -21.76        9.9 23.906225130706     135.04      25.28
    0.004424 5.2490234375    -26.813      12.03 29.3880565706547     134.98      25.59
    0.006078   5.234375    -31.749     13.901 34.658863253142     135.02      25.42
    0.008351 5.25390625    -36.137     15.722 39.408933669918     134.99          0
    0.011472 5.2392578125    -41.534      18.37 45.4150862159261     134.98      25.57
    0.015761 5.1123046875    -45.113     18.892 48.9090015539062     135.01      25.51
    0.021653 5.283203125    -47.045     19.739 51.0182334660854     134.98      25.56
    0.029747 5.302734375    -48.084     20.176 52.1453932001668     134.98      25.57
    0.040867  5.2734375    -48.765     21.785 53.4098441300852     135.02      25.37
    0.056144 5.25390625     -48.72     21.605 53.2955385093349     135.06      25.27
    0.077132   5.234375     -49.61     21.444 54.0462508968013     134.99      25.44
    0.105966 5.2587890625    -49.716     21.492 54.1625952110864     134.94      25.65
    0.145579 5.2880859375    -49.316       21.8 53.9194571189288     134.95      25.65
         0.2 5.263671875    -48.752     22.136 53.542132942198     135.05      25.26
