          D5   _TRIMLEV       INTR       INTI     INTABS    _ITC_R1     _ITC_V
      2E-005 1.7724609375      9.275    -14.778 17.4474900487147      99.99      22.19
  2.7476E-005 2.1630859375      9.095    -14.057 16.7427080844169      99.98      22.28
  3.7748E-005 2.16796875      8.385    -13.294 15.7174635676371      99.96      22.35
  5.1859E-005 2.158203125      7.967    -12.571 14.8829812201723     100.09      21.85
  7.1245E-005 2.2998046875      7.302    -11.322 13.4724492205389      99.97      22.35
  9.7878E-005 2.1923828125      6.874     -9.865 12.0237307438249      99.97       22.3
  0.000134467 2.1923828125      5.808     -8.615 10.3899513473356      99.93      22.48
  0.000184734 2.16796875      4.578     -6.564 8.00276077363306     100.03       22.1
  0.000253792  2.1484375       3.04     -3.608 4.71797244587121      100.1       21.9
  0.000348666 2.1630859375   0.383413   0.176858 0.422237232764947     100.05      22.08
  0.000479005     2.1875     -2.224      4.536 5.05187806662037        100      22.28
    0.000658 2.1728515625     -5.002      8.927 10.2328555643085     100.04          0
    0.000904 2.16796875     -8.135       14.3 16.4519975990759     100.02       22.2
    0.001242 2.16796875      -12.2     20.227 23.6214209775788      99.95      22.49
    0.001706 2.1630859375    -15.915      25.86 30.3648946153284      99.94      22.63
    0.002344 2.16796875    -19.665     32.527 38.0094455892216     100.02      22.26
    0.003221 2.16796875    -23.637     37.546 44.3667655458452      99.98      22.44
    0.004424 2.16796875    -26.712     42.028 49.7984309792989      99.92      22.62
    0.006078 2.1630859375    -29.169     46.313 54.7332123120871      99.95      22.57
    0.008351 2.1630859375     -31.31     49.459 58.5363885203042      99.97      22.43
    0.011472 2.1826171875    -33.035     51.899 61.5208698410548     100.01      22.36
    0.015761 2.2314453125    -33.805      53.39 63.1923264724444      99.98      22.53
    0.021653 2.1728515625    -34.057     53.649 63.5460026280174        100      22.48
    0.029747 2.1728515625    -34.153     53.632 63.5831646978978     100.04      22.42
    0.040867 2.16796875    -34.279     54.745 64.5915231744847      99.94      22.77
    0.056144 2.16796875    -34.336     54.674 64.5616540370521     100.05      22.38
    0.077132 2.197265625    -34.509      54.51 64.5152011622067     100.12      22.18
    0.105966 2.1533203125    -33.939     54.586 64.2766451909245     100.06      22.42
    0.145579 2.1923828125    -33.645     54.492 64.0418932340386     100.11      22.16
         0.2 2.216796875    -34.297     54.696 64.5595587422962      99.99          0
