[PARAMETERS]
DW=1E-007
TAU=0.0001
TD=4096
BS=4096
NS=512
NSC=512
FR=56.210000
GAIN=4.974204
D0=0.05
D1=5E-006
D2=1.2E-005
D3=2.5E-005
D4=1E-005
D5=0.0515456138992982
D6=0.0006
D7=0.001
D8=0.001
D9=0.1
C0=1
SEGTD=0
SEGOFF=0
SEGNUM=0
[ADDITIONAL]
PPFILE=ZG_three_T1_solid.PC
DATEWR=09.09.2024
TIMEWR=17:04:19
DATESTA=09.09.2024
TIMESTA=17:02:57
DATEEND=09.09.2024
TIMEEND=17:04:17
CURR_Z0=0
CURR_Z1=1
TE=-1
[VARIABLES]
_USER=Measurements
_EMAIL_F=7NMR.NMR-270-ijs.si
_ITC_H=1
_ITC_R0=170.00
_ITC_R1=170.06
_ITC_R2=170.38
_ITC_R3=  0.00
_ITC_R4=  0.06
_ITC_V= 21.79
_ITC_X=X0A1C1S00H1
_FW=100
_ORIENT=?
_THETA=0
_TITLE=?
_DESCR1=?
_DESCR2=?
_FR_LARM=56.21000000
_FR_SYNT=526.21000000
_TRIMLEV=1.6015625
_DATE=09.09.2024
_TIME=16:39:40
_ITC_DIR=I2
[PPFILE]
; three pulses for T_1 experiment

DELAY 1m
PULSE [GT] 3u
PULSE [PHL3,GT] D2
DELAY D5-3u
PULSE [GT] 3u
PULSE [PHL1,GT] D1
DELAY TAU-3u
PULSE [GT] 3u
PULSE [PHL2,GT] D1
DELAY TAU-D3
PULSE [TR] 1u+DW
DELAY D9
STOP

PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y] [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
PHL 2 [+Y] [-Y] [-Y] [+Y] [-X] [+X] [+X] [-X] [+X] [-X] [-X] [+X] [-Y] [+Y] [+Y] [-Y]
PHL 3 [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] 
[-X] [-X] [-X] [-X]
!RLS +X-X+X-X+Y-Y+Y-Y-X+X-X+X-Y+Y-Y+Y

;PHL 1 [+X] [-X] [+X] [-X]
;PHL 2 [+Y] [-Y] [-Y] [+Y]
;PHL 3 [+X] [-X] [+X] [-X]
;!RLS +X-X+X-X

;PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
;PHL 2 [+Y] [-Y] [-Y] [+Y] [-Y] [+Y] [+Y] [-Y]
;PHL 3 [+X] [-X] [-X] [+X] [+X] [-X] [-X] [+X]
;!RLS +X-X+X-X-Y+Y-Y+Y
[DATA]
 0.0020500 -0.0006144
 0.0021633 -0.0002016
 0.0021253 -0.0001728
 0.0021246 -0.0001377
 0.0021357 -0.0002898
 0.0024147 -0.0003548
 0.0025872 -0.0004399
 0.0027736 -0.0000765
 0.0029533  0.0001224
 0.0028187  0.0005051
 0.0025378  0.0011074
 0.0021821  0.0014523
 0.0018861  0.0016526
 0.0015876  0.0020165
 0.0015913  0.0021022
 0.0015665  0.0023249
 0.0014267  0.0025166
 0.0012131  0.0027316
 0.0009410  0.0028664
 0.0006977  0.0029920
 0.0004080  0.0028178
 0.0001156  0.0027576
-0.0000655  0.0024694
-0.0001129  0.0023109
-0.0000571  0.0019452
 0.0002077  0.0017430
 0.0003057  0.0014638
 0.0003982  0.0010104
 0.0005158  0.0007444
 0.0005994  0.0004912
 0.0004410  0.0003921
 0.0001853  0.0002105
-0.0002157 -0.0000215
-0.0005645 -0.0003033
-0.0011110 -0.0004910
-0.0012565 -0.0006892
-0.0013165 -0.0009520
-0.0012793 -0.0012961
-0.0008934 -0.0016891
-0.0004198 -0.0018440
-0.0000210 -0.0021709
 0.0005509 -0.0022507
 0.0008763 -0.0023884
 0.0011874 -0.0020326
 0.0014716 -0.0019307
 0.0016190 -0.0018598
 0.0018745 -0.0016828
 0.0020445 -0.0013908
 0.0021507 -0.0011276
 0.0023449 -0.0008707
 0.0024672 -0.0006690
 0.0025820 -0.0006975
 0.0026143 -0.0005768
 0.0028380 -0.0005662
 0.0029499 -0.0004602
 0.0030253 -0.0004192
 0.0030512 -0.0002893
 0.0031292 -0.0000676
 0.0034139  0.0000609
 0.0036284  0.0003806
 0.0037768  0.0006856
 0.0039705  0.0011085
 0.0039929  0.0012034
 0.0040045  0.0013722
 0.0038333  0.0014136
 0.0038210  0.0011453
 0.0038398  0.0008065
 0.0039049  0.0004727
 0.0042891 -0.0000981
 0.0046391 -0.0004394
 0.0049081 -0.0006543
 0.0053947 -0.0008972
 0.0059061 -0.0009290
 0.0059510 -0.0009204
 0.0057595 -0.0009012
 0.0056102 -0.0008907
 0.0052790 -0.0008889
 0.0050603 -0.0009576
 0.0047791 -0.0011689
 0.0046047 -0.0011579
 0.0043920 -0.0014038
 0.0041727 -0.0014276
 0.0039705 -0.0015238
 0.0037286 -0.0017867
 0.0031959 -0.0015473
 0.0028613 -0.0014599
 0.0021744 -0.0011377
 0.0012418 -0.0008151
 0.0002844 -0.0005227
-0.0004502 -0.0005047
-0.0009943 -0.0007231
-0.0013316 -0.0009108
-0.0010338 -0.0014263
-0.0007982 -0.0016694
-0.0002746 -0.0020574
 0.0003056 -0.0023869
 0.0007548 -0.0025075
 0.0013170 -0.0026311
 0.0017764 -0.0025500
 0.0019802 -0.0020762
 0.0021749 -0.0015342
 0.0017889 -0.0007764
 0.0016472  0.0001686
 0.0010132  0.0009355
 0.0005589  0.0014559
-0.0000492  0.0018619
-0.0004776  0.0016328
-0.0006384  0.0012615
-0.0007556  0.0008195
-0.0006853  0.0002519
-0.0005381 -0.0001709
-0.0004591 -0.0004398
-0.0004717 -0.0005138
-0.0004478 -0.0002907
-0.0006129  0.0002105
-0.0004982  0.0007927
-0.0004859  0.0013818
-0.0001257  0.0018078
 0.0002914  0.0019257
 0.0008091  0.0022825
 0.0013307  0.0021165
 0.0016710  0.0019658
 0.0021372  0.0017760
 0.0025919  0.0014496
 0.0027796  0.0013107
 0.0027052  0.0010653
 0.0029126  0.0010582
 0.0028986  0.0012770
 0.0026607  0.0016325
 0.0023309  0.0019204
 0.0020764  0.0023074
 0.0018637  0.0023015
 0.0016931  0.0023594
 0.0015324  0.0023499
 0.0015424  0.0023366
 0.0016415  0.0022284
 0.0013669  0.0023769
 0.0012928  0.0024961
 0.0008603  0.0026283
 0.0006156  0.0028102
 0.0005338  0.0028752
 0.0005431  0.0029505
 0.0008358  0.0029065
 0.0010962  0.0027060
 0.0015392  0.0024415
 0.0019452  0.0024808
 0.0023726  0.0023061
 0.0025692  0.0023619
 0.0026961  0.0026776
 0.0028787  0.0032116
 0.0026301  0.0036251
 0.0024901  0.0040425
 0.0021856  0.0043182
 0.0018421  0.0043958
 0.0014486  0.0041917
 0.0011400  0.0039290
 0.0008290  0.0033775
 0.0005713  0.0025989
 0.0002409  0.0017988
 0.0000996  0.0012498
-0.0000081  0.0007538
-0.0000811  0.0005316
-0.0001822  0.0005914
-0.0004189  0.0009824
-0.0003950  0.0012970
-0.0005129  0.0014773
-0.0005840  0.0018583
-0.0006984  0.0019073
-0.0007442  0.0019157
-0.0007675  0.0017925
-0.0006379  0.0017147
-0.0003601  0.0019521
-0.0002937  0.0023479
 0.0000628  0.0028056
 0.0002133  0.0033859
 0.0002710  0.0039534
 0.0002319  0.0044266
 0.0000375  0.0046433
-0.0001735  0.0045780
-0.0002650  0.0046245
-0.0005155  0.0045009
-0.0008000  0.0042702
-0.0011626  0.0041625
-0.0014345  0.0039800
-0.0017481  0.0039178
-0.0020608  0.0037545
-0.0021891  0.0037182
-0.0021233  0.0037933
-0.0022896  0.0039940
-0.0022935  0.0044934
-0.0022542  0.0049635
-0.0025807  0.0055006
-0.0029788  0.0056026
-0.0032338  0.0056931
-0.0036609  0.0055294
-0.0038985  0.0052773
-0.0040998  0.0046957
-0.0042656  0.0040088
-0.0043602  0.0031761
-0.0044742  0.0025597
-0.0045419  0.0018576
-0.0045407  0.0012840
-0.0043399  0.0009099
-0.0043674  0.0006292
-0.0043296  0.0002956
-0.0044831  0.0001108
-0.0046022 -0.0000699
-0.0048341 -0.0003003
-0.0051713 -0.0007708
-0.0054356 -0.0015351
-0.0055985 -0.0023017
-0.0058672 -0.0031407
-0.0059895 -0.0039953
-0.0060064 -0.0050940
-0.0060430 -0.0060915
-0.0058498 -0.0069834
-0.0056474 -0.0078054
-0.0054472 -0.0086825
-0.0051760 -0.0095547
-0.0050204 -0.0105014
-0.0048545 -0.0116029
-0.0047422 -0.0127916
-0.0048477 -0.0138305
-0.0046843 -0.0150614
-0.0045854 -0.0164045
-0.0044007 -0.0176465
-0.0041060 -0.0190760
-0.0040170 -0.0207295
-0.0037963 -0.0223955
-0.0035628 -0.0240666
-0.0032542 -0.0256067
-0.0031074 -0.0269606
-0.0028943 -0.0279667
-0.0025730 -0.0289321
-0.0023302 -0.0298508
-0.0021829 -0.0307224
-0.0020410 -0.0318326
-0.0020367 -0.0331765
-0.0019853 -0.0345876
-0.0019235 -0.0358616
-0.0015669 -0.0370882
-0.0011919 -0.0381446
-0.0009085 -0.0385105
-0.0004613 -0.0388017
-0.0002293 -0.0387356
 0.0000322 -0.0382467
 0.0002839 -0.0376125
 0.0003285 -0.0370674
 0.0002628 -0.0361182
 0.0005001 -0.0349969
 0.0007946 -0.0337074
 0.0011236 -0.0321447
 0.0012981 -0.0301404
 0.0015266 -0.0277178
 0.0017314 -0.0251849
 0.0019095 -0.0223052
 0.0021407 -0.0191137
 0.0025343 -0.0158249
 0.0030528 -0.0118524
 0.0035347 -0.0078468
 0.0042878 -0.0034074
 0.0048633  0.0014672
 0.0055219  0.0064627
 0.0062913  0.0121496
 0.0070877  0.0184753
 0.0080528  0.0253863
 0.0089967  0.0328504
 0.0099839  0.0410026
 0.0113215  0.0495293
 0.0127191  0.0583251
 0.0145741  0.0673213
 0.0164405  0.0772546
 0.0183888  0.0873727
 0.0204249  0.0983555
 0.0224128  0.1095316
 0.0243291  0.1214150
 0.0264230  0.1335577
 0.0285662  0.1463235
 0.0307081  0.1595128
 0.0330850  0.1728752
 0.0357043  0.1867966
 0.0387378  0.2010228
 0.0418396  0.2158833
 0.0453090  0.2311122
 0.0490564  0.2471541
 0.0526988  0.2634819
 0.0563087  0.2802102
 0.0601201  0.2969413
 0.0640720  0.3139514
 0.0680435  0.3311001
 0.0726625  0.3481492
 0.0771630  0.3654805
 0.0820278  0.3829412
 0.0869055  0.4003676
 0.0920641  0.4179803
 0.0970923  0.4354612
 0.1022294  0.4530032
 0.1075814  0.4703085
 0.1129843  0.4874756
 0.1184943  0.5044731
 0.1241335  0.5210656
 0.1299875  0.5375694
 0.1357298  0.5534679
 0.1413813  0.5692123
 0.1472054  0.5843990
 0.1530244  0.5992587
 0.1589090  0.6137265
 0.1648090  0.6278565
 0.1706608  0.6417185
 0.1764559  0.6548603
 0.1821250  0.6676816
 0.1877655  0.6797812
 0.1934274  0.6913848
 0.1993285  0.7022384
 0.2053024  0.7125471
 0.2112494  0.7222279
 0.2172593  0.7312995
 0.2229127  0.7399505
 0.2285394  0.7478662
 0.2337985  0.7550460
 0.2387317  0.7616322
 0.2437562  0.7671396
 0.2484608  0.7717949
 0.2530475  0.7754383
 0.2577300  0.7782101
 0.2624505  0.7797683
 0.2667847  0.7806266
 0.2708659  0.7803105
 0.2748708  0.7793384
 0.2785793  0.7774029
 0.2823644  0.7747703
 0.2856256  0.7714300
 0.2885596  0.7673501
 0.2911015  0.7627045
 0.2933199  0.7575575
 0.2949964  0.7515382
 0.2962903  0.7451255
 0.2972031  0.7378058
 0.2978245  0.7298986
 0.2984566  0.7216100
 0.2985984  0.7126706
 0.2985451  0.7029100
 0.2980457  0.6928507
 0.2972964  0.6822355
 0.2964569  0.6709493
 0.2950503  0.6591857
 0.2934596  0.6468000
 0.2912020  0.6340966
 0.2887529  0.6209335
 0.2859954  0.6073533
 0.2829351  0.5932911
 0.2797428  0.5789219
 0.2761698  0.5645458
 0.2725225  0.5497178
 0.2689382  0.5349760
 0.2650135  0.5199825
 0.2609996  0.5050297
 0.2567354  0.4897771
 0.2526045  0.4747125
 0.2480611  0.4595258
 0.2434549  0.4444367
 0.2386213  0.4292367
 0.2332888  0.4142330
 0.2279378  0.3993823
 0.2221978  0.3845486
 0.2162857  0.3697528
 0.2104103  0.3551105
 0.2044630  0.3405351
 0.1987912  0.3262950
 0.1933183  0.3122314
 0.1880477  0.2983470
 0.1828188  0.2847174
 0.1773733  0.2713976
 0.1722927  0.2583642
 0.1667816  0.2454835
 0.1614260  0.2330165
 0.1560039  0.2207700
 0.1509468  0.2087816
 0.1455195  0.1971518
 0.1406018  0.1858683
 0.1352039  0.1751630
 0.1302574  0.1651192
 0.1250918  0.1554289
 0.1198328  0.1462231
 0.1146076  0.1374720
 0.1092779  0.1287342
 0.1038177  0.1203979
 0.0986850  0.1121238
 0.0934363  0.1042876
 0.0883126  0.0970654
 0.0835975  0.0899268
 0.0792572  0.0833155
 0.0750305  0.0771365
 0.0712666  0.0711478
 0.0677580  0.0655507
 0.0643353  0.0604059
 0.0611272  0.0554635
 0.0581012  0.0511681
 0.0550927  0.0470200
 0.0521760  0.0429763
 0.0490310  0.0393593
 0.0460543  0.0356122
 0.0432092  0.0317132
 0.0403855  0.0281203
 0.0374030  0.0245665
 0.0350239  0.0212072
 0.0326110  0.0182562
 0.0304591  0.0153427
 0.0286050  0.0128090
 0.0266610  0.0103245
 0.0250179  0.0080605
 0.0235430  0.0059550
 0.0220008  0.0042353
 0.0207875  0.0023689
 0.0196727  0.0008826
 0.0185189 -0.0004984
 0.0173234 -0.0017280
 0.0161267 -0.0028591
 0.0153201 -0.0039396
 0.0142503 -0.0048573
 0.0133682 -0.0055208
 0.0126534 -0.0060075
 0.0119379 -0.0063576
 0.0114439 -0.0066697
 0.0112747 -0.0068680
 0.0108500 -0.0069008
 0.0106300 -0.0069520
 0.0104978 -0.0069263
 0.0101988 -0.0067889
 0.0096423 -0.0069447
 0.0092448 -0.0068519
 0.0085826 -0.0066157
 0.0078895 -0.0067496
 0.0073357 -0.0064971
 0.0069086 -0.0064146
 0.0066887 -0.0063762
 0.0063043 -0.0062237
 0.0061534 -0.0062533
 0.0060832 -0.0064308
 0.0059519 -0.0063705
