          D5   _TRIMLEV       INTR       INTI     INTABS    _ITC_R1     _ITC_V
      2E-005 1.5478515625     -6.713    -32.265 32.9559492959921     200.01      22.87
  2.8141E-005 1.5478515625      -7.51    -32.606 33.4596971893052     199.96      23.04
  3.9596E-005 1.54296875     -6.704    -31.829 32.5273555180866     199.97      22.99
  5.5714E-005 1.54296875     -6.743    -31.752 32.4600916973443        200      22.91
  7.8393E-005 1.533203125      -7.31    -31.378 32.2182399270972     200.03      22.75
  0.000110303 1.533203125     -6.187    -30.023 30.6538659552103        200      22.86
  0.000155202 1.5380859375     -6.341    -29.326 30.0037090540486     199.98      22.95
  0.000218378 1.5380859375     -5.096    -27.495 27.9632659215622        200      22.96
  0.000307271 1.5380859375     -4.596    -25.576 25.9856689734938     199.98      22.91
  0.000432347 1.5380859375     -4.581    -23.259 23.7058356106677     199.99      22.89
    0.000608 1.5380859375     -3.524    -18.791 19.1185840741411     200.01       22.8
    0.000856 1.5380859375     -1.778    -15.109 15.2132562260681     200.03      22.71
    0.001204 1.5380859375     -1.044     -9.278 9.33655289708145        200      22.82
    0.001695 1.5380859375      2.066     -1.498 2.55193260099086     199.99      22.86
    0.002384 1.5380859375      4.079      7.941 8.92735806383949     199.99      22.86
    0.003355 1.5380859375      6.492     16.248 17.4969588214638        200      22.86
    0.004721 1.5380859375      9.945     25.959 27.798789649911     199.99      22.84
    0.006642 1.5380859375     11.724     35.725 37.5995718193705     200.03      22.74
    0.009346 1.5380859375      13.37     43.016 45.0459005459986     199.96      22.91
    0.013151 1.5380859375      14.02     50.321 52.2375673342471     200.06          0
    0.018504 1.54296875     14.035     54.835 56.6026364226968     200.05      22.68
    0.026036 1.5380859375     15.187     58.274 60.2204620125087     199.98      22.91
    0.036634 1.54296875     15.213     61.831 63.6750180997226     199.97      22.95
    0.051546 1.5478515625     16.094     64.067 66.0575304185677     200.01          0
    0.072528 1.552734375     16.272     66.354 68.3200651346294     199.97      22.95
     0.10205 1.552734375     16.403     66.671 68.6591628990625     199.99      22.98
    0.143591 1.5576171875     16.404     66.133 68.1371037321077     199.94      23.04
     0.20204 1.5576171875      16.64     65.546 67.6252003028457     200.02      22.78
    0.284282 1.5576171875     17.002     65.829 67.9891553484819        200      22.86
         0.4 1.5478515625     18.901     64.559 67.2689548157246     199.92      23.15
