          D5   _TRIMLEV       INTR       INTI     INTABS    _ITC_R1     _ITC_V
      2E-005     1.5625    -30.202    -60.817 67.9033746804973     114.97      26.84
  2.7476E-005     1.5625     -31.35    -58.802 66.6370595389683     114.97      26.84
  3.7748E-005    1.71875    -31.429    -59.657 67.4295164597819     114.97      26.84
  5.1859E-005 1.572265625    -29.404    -57.485 64.5687264935588     114.97      26.84
  7.1245E-005 1.5576171875    -26.592    -53.909 60.1108538036185     114.97      26.84
  9.7878E-005 1.5771484375     -26.22    -49.953 56.4162264689867     114.97      26.84
  0.000134467 1.5576171875    -22.392    -45.355 50.5813966691312     114.97      26.84
  0.000184734  1.6015625    -22.864    -38.813 45.0467697510043     114.97      26.84
  0.000253792 1.5673828125    -16.786    -32.716 36.7710001495744     114.97      26.84
  0.000348666 1.748046875    -14.461    -21.717 26.0911596139382     114.97      26.84
  0.000479005 1.650390625     -8.432     -9.505 12.7060477332647     114.97      26.84
    0.000658  1.6796875     -2.189      6.783 7.12746869512592     114.97      26.84
    0.000904 1.6552734375      6.362     23.171 24.0285306458801     114.97      26.84
    0.001242 1.6162109375     13.205     41.469 43.5206845764172     114.97      26.84
    0.001706 1.6650390625     20.411      60.74 64.0777381077079     114.97      26.84
    0.002344 1.6357421875     27.168     73.301 78.1737604634701     114.97      26.84
    0.003221   1.640625     32.457     87.448 93.2770580207159     114.97      26.84
    0.004424 1.6455078125     37.393    100.104 106.859942284282     114.97      26.84
    0.006078   1.640625     40.384    108.413 115.690302208093     114.97      26.84
    0.008351 1.6357421875     43.305    117.212 124.955896095382     114.97      26.84
    0.011472 1.6455078125     45.944    122.011 130.374595903496     114.97      26.84
    0.015761 1.6552734375     47.652    127.247 135.876826990477     114.97      26.84
    0.021653 1.6455078125     47.683    129.984 138.453995048897     114.97      26.84
    0.029747 1.6455078125     50.409    132.331 141.607064943809     114.97      26.84
    0.040867  1.8359375     50.321    134.216 143.339239906594     114.97      26.84
    0.056144 1.6357421875     47.397    134.348 142.463541697516     114.97      26.84
    0.077132 1.6259765625     49.359    134.815 143.566692188683     114.97      26.84
    0.105966 1.6552734375     49.591    133.982 142.865123823136     114.97      26.84
    0.145579 1.62109375     48.605    134.606 143.112617406712     114.97      26.84
         0.2 1.6552734375     48.357    135.956 144.299803828695     114.97      26.84
