          D5   _TRIMLEV       INTR       INTI     INTABS    _ITC_R1     _ITC_V
      2E-005 1.5869140625    -36.555      7.877 37.394052388047     107.45      23.47
  2.8141E-005 1.58203125    -36.004      8.389 36.9684099874474     107.45      23.47
  3.9596E-005 1.58203125     -34.84      7.107 35.5574893517526     107.45      23.47
  5.5714E-005 1.5771484375    -32.951      7.684 33.8350743607872     107.45      23.47
  7.8393E-005 1.58203125    -31.562      7.077 32.3456917223917     107.45      23.47
  0.000110303 1.58203125    -28.742      6.333 29.4314364753065     107.45      23.47
  0.000155202 1.58203125     -24.45      6.831 25.3863164125873     107.45      23.47
  0.000218378 1.5869140625    -20.283      5.601 21.0421313084012     107.45      23.47
  0.000307271 1.591796875    -13.966       4.16 14.5723970574508     107.45      23.47
  0.000432347  1.6015625     -7.585      3.414 8.31790965327227     107.45      23.47
    0.000608  1.6796875       3.31      1.497 3.6327825423496     107.45      23.47
    0.000856 1.6259765625     14.122   0.384557 14.1272349766771     107.45      23.47
    0.001204 1.611328125      24.75     -0.724 24.7605871497426     107.45      23.47
    0.001695 1.611328125     35.165     -2.903 35.2846231948139     107.45      23.47
    0.002384 1.6064453125     45.209     -4.127 45.396980185911     107.45      23.47
    0.003355 1.611328125     54.265     -4.704 54.4685032013915     107.45      23.47
    0.004721  1.6015625     60.921      -5.08 61.1324352614878     107.45      23.47
    0.006642 1.5966796875     65.465     -5.891 65.7295223320541     107.45      23.47
    0.009346 1.5966796875     69.522     -5.791 69.7627706230193     107.45      23.47
    0.013151 1.591796875     73.096     -6.335 73.3700036867929     107.45      23.47
    0.018504 1.5966796875     75.219         -6 75.4579217908895     107.45      23.47
    0.026036  1.6015625     76.584     -6.554 76.8639315413933     107.45      23.47
    0.036634  1.6015625     77.207      -6.38 77.4701571509959     107.45      23.47
    0.051546 1.591796875     79.103     -7.933 79.4997930689131     107.45      23.47
    0.072528 1.6259765625     77.999     -6.796 78.2945056629135     107.45      23.47
     0.10205 1.611328125     79.238     -7.499 79.5920576753736     107.45      23.47
    0.143591 1.630859375     78.318     -6.994 78.6296709900277     107.45      23.47
     0.20204 1.6064453125     78.315     -6.242 78.563361619778     107.45      23.47
    0.284282 1.5966796875     77.546     -7.313 77.8900640967768     107.45      23.47
         0.4 1.650390625     78.316     -6.285 78.5677865349406     107.45      23.47
