[PARAMETERS]
DW=1E-007
TAU=0.0001
TD=4096
BS=4096
NS=128
NSC=128
FR=56.148000
GAIN=4.974204
D0=0.05
D1=5.5E-006
D2=1.05E-005
D3=2.5E-005
D4=1E-005
D5=0.0033550630269673
D6=0.001
D7=0.001
D8=0.001
D9=0.075
C0=1
SEGTD=0
SEGOFF=0
SEGNUM=0
[ADDITIONAL]
PPFILE=ZG_three_T1.PC
DATEWR=20.09.2024
TIMEWR=12:16:43
DATESTA=20.09.2024
TIMESTA=12:16:32
DATEEND=20.09.2024
TIMEEND=12:16:42
CURR_Z0=0
CURR_Z1=1
TE=-1
[VARIABLES]
_USER=Measurements
_EMAIL_F=7NMR.NMR-270-ijs.si
_ITC_H=1
_ITC_R0=110.00
_ITC_R1=110.07
_ITC_R2=110.56
_ITC_R3=  0.00
_ITC_R4=  0.07
_ITC_V= 23.32
_ITC_X=X0A1C1S00H1
_FW=100
_ORIENT=?
_THETA=0
_TITLE=?
_DESCR1=?
_DESCR2=?
_FR_LARM=56.14800000
_FR_SYNT=526.14800000
_TRIMLEV=1.7626953125
_DATE=20.09.2024
_TIME=12:13:21
_ITC_DIR=M35
[PPFILE]
; three pulses for T_1 experiment

DELAY 1m
PULSE [GT] 3u
PULSE [PHL3,GT] D2
DELAY D5-3u
PULSE [GT] 3u
PULSE [PHL1,GT] D1
DELAY TAU-3u
PULSE [GT] 3u
PULSE [PHL2,GT] 2*D1
DELAY TAU-D3
PULSE [TR] 1u+DW
DELAY D9
STOP

PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y] [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
PHL 2 [+Y] [-Y] [-Y] [+Y] [-X] [+X] [+X] [-X] [+X] [-X] [-X] [+X] [-Y] [+Y] [+Y] [-Y]
PHL 3 [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X]
!RLS +X-X+X-X+Y-Y+Y-Y-X+X-X+X-Y+Y-Y+Y

;PHL 1 [+X] [-X] [+X] [-X]
;PHL 2 [+Y] [-Y] [-Y] [+Y]
;PHL 3 [+X] [-X] [+X] [-X]
;!RLS +X-X+X-X

;PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
;PHL 2 [+Y] [-Y] [-Y] [+Y] [-Y] [+Y] [+Y] [-Y]
;PHL 3 [+X] [-X] [-X] [+X] [+X] [-X] [-X] [+X]
;!RLS +X-X+X-X-Y+Y-Y+Y
[DATA]
 0.0015773  0.0015079
 0.0015869  0.0016241
 0.0016353  0.0017784
 0.0011895  0.0020110
 0.0012263  0.0022859
 0.0009739  0.0030216
 0.0005908  0.0028924
 0.0003816  0.0030556
-0.0000366  0.0033302
-0.0005898  0.0031247
-0.0009527  0.0029547
-0.0015289  0.0028029
-0.0021203  0.0021835
-0.0021401  0.0018520
-0.0021563  0.0013683
-0.0024009  0.0007078
-0.0022293  0.0003363
-0.0019935  0.0003891
-0.0018768  0.0000427
-0.0014335 -0.0006497
-0.0016616 -0.0004377
-0.0010677 -0.0005277
-0.0010467 -0.0006400
-0.0008723 -0.0006371
-0.0011779 -0.0009977
-0.0009090 -0.0011131
-0.0011379 -0.0011148
-0.0006744 -0.0014773
-0.0004867 -0.0014987
 0.0000899 -0.0016372
 0.0006459 -0.0019461
 0.0012571 -0.0021234
 0.0018090 -0.0021044
 0.0021695 -0.0020891
 0.0024005 -0.0021303
 0.0025490 -0.0020511
 0.0028341 -0.0015917
 0.0028672 -0.0014052
 0.0023673 -0.0011173
 0.0022478 -0.0009065
 0.0014927 -0.0001798
 0.0010947 -0.0001984
 0.0004999 -0.0000825
 0.0000429  0.0004900
-0.0005328  0.0004125
-0.0010084  0.0009066
-0.0010096  0.0012886
-0.0014328  0.0014004
-0.0016035  0.0019753
-0.0012575  0.0014928
-0.0017913  0.0012244
-0.0013136  0.0011493
-0.0012753  0.0011884
-0.0010666  0.0009599
-0.0005147  0.0009648
-0.0002123  0.0009321
-0.0000827  0.0009160
 0.0001418  0.0014748
-0.0000933  0.0013254
 0.0000016  0.0013852
 0.0002273  0.0017518
 0.0001687  0.0020042
 0.0001889  0.0022335
