          D5   _TRIMLEV       INTR       INTI     INTABS    _ITC_R1     _ITC_V
      2E-005 1.5966796875    -36.132    -59.329 69.4654710269786      79.89      24.27
  2.7476E-005 1.5966796875    -34.478    -55.699 65.5065728381511      79.89      24.27
  3.7748E-005 1.5966796875    -33.428    -52.251 62.0290108336414      79.89      24.27
  5.1859E-005 1.5966796875     -32.34    -48.599 58.3758374757913      79.89      24.27
  7.1245E-005 1.5966796875    -29.463    -44.174 53.0981228010934      79.89      24.27
  9.7878E-005 1.5966796875     -24.08    -36.781 43.9623516318224      79.89      24.27
  0.000134467 1.5966796875    -20.332    -27.732 34.3868295717997      79.89      24.27
  0.000184734 1.5966796875    -14.843    -17.317 22.8077429396247      79.89      24.27
  0.000253792 1.5966796875     -8.121     -2.873 8.6142190592067      79.89      24.27
  0.000348666  1.6015625     -1.505     12.445 12.5356711028967      79.89      24.27
  0.000479005 1.5966796875      6.016     28.254 28.8873808435448      79.89      24.27
    0.000658 1.5966796875     14.657     46.769 49.0119068186497      79.89      24.27
    0.000904 1.5966796875     22.312     62.501 66.3641495462723      79.89      24.27
    0.001242 1.5966796875     30.708     76.831 82.7404606284011      79.89      24.27
    0.001706 1.5966796875     36.453     87.886 95.1460467124094      79.89      24.27
    0.002344 1.5966796875     40.414    101.305 109.068760059881      79.89      24.27
    0.003221 1.5966796875     45.065    109.499 118.409818959409      79.89      24.27
    0.004424 1.5966796875     47.906    118.058 127.407520186212      79.89      24.27
    0.006078 1.5966796875     49.333    122.061 131.653456506086      79.89      24.27
    0.008351 1.5966796875     51.855     126.52 136.73423647719      79.89      24.27
    0.011472 1.5966796875     52.673    128.131 138.535187190836      79.89      24.27
    0.015761 1.5966796875     52.765    131.232 141.442507928133      79.89      24.27
    0.021653  1.6015625     52.228    132.594 142.509413092609      79.89      24.27
    0.029747 1.5966796875     53.965    133.213 143.728649176147      79.89      24.27
    0.040867 1.5966796875      53.63    133.301 143.684840887966      79.89      24.27
    0.056144  1.6015625     51.605    131.833 141.573358772051      79.89      24.27
    0.077132  1.6015625     52.709    132.454 142.556307461298      79.89      24.27
    0.105966 1.5966796875     53.033    132.653 142.861182614453      79.89      24.27
    0.145579  1.6015625     53.176    132.859 143.105558442012      79.89      24.27
         0.2  1.6015625     52.279    133.526 143.395559613957      79.89      24.27
