[PARAMETERS]
DW=1E-007
TAU=0.0001
TD=4096
BS=4096
NS=128
NSC=128
FR=56.140000
GAIN=4.974204
D0=0.05
D1=5E-006
D2=9.5E-006
D3=2.5E-005
D4=1E-005
D5=0.00170633570483451
D6=0.001
D7=0.001
D8=0.001
D9=0.05
C0=1
SEGTD=0
SEGOFF=0
SEGNUM=0
[ADDITIONAL]
PPFILE=ZG_three_T1.PC
DATEWR=16.09.2024
TIMEWR=18:26:04
DATESTA=16.09.2024
TIMESTA=18:25:57
DATEEND=16.09.2024
TIMEEND=18:26:04
CURR_Z0=0
CURR_Z1=1
TE=-1
[VARIABLES]
_USER=Measurements
_EMAIL_F=7NMR.NMR-270-ijs.si
_ITC_H=1
_ITC_R0= 90.00
_ITC_R1= 89.95
_ITC_R2= 90.44
_ITC_R3=  0.00
_ITC_R4= -0.05
_ITC_V= 25.50
_ITC_X=X0A1C1S00H1
_FW=100
_ORIENT=?
_THETA=0
_TITLE=?
_DESCR1=?
_DESCR2=?
_FR_LARM=56.14000000
_FR_SYNT=526.14000000
_TRIMLEV=1.6748046875
_DATE=16.09.2024
_TIME=18:23:41
_ITC_DIR=M35
[PPFILE]
; three pulses for T_1 experiment

DELAY 1m
PULSE [GT] 3u
PULSE [PHL3,GT] D2
DELAY D5-3u
PULSE [GT] 3u
PULSE [PHL1,GT] D1
DELAY TAU-3u
PULSE [GT] 3u
PULSE [PHL2,GT] 2*D1
DELAY TAU-D3
PULSE [TR] 1u+DW
DELAY D9
STOP

PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y] [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
PHL 2 [+Y] [-Y] [-Y] [+Y] [-X] [+X] [+X] [-X] [+X] [-X] [-X] [+X] [-Y] [+Y] [+Y] [-Y]
PHL 3 [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] 
[-X] [-X] [-X] [-X]
!RLS +X-X+X-X+Y-Y+Y-Y-X+X-X+X-Y+Y-Y+Y

;PHL 1 [+X] [-X] [+X] [-X]
;PHL 2 [+Y] [-Y] [-Y] [+Y]
;PHL 3 [+X] [-X] [+X] [-X]
;!RLS +X-X+X-X

;PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
;PHL 2 [+Y] [-Y] [-Y] [+Y] [-Y] [+Y] [+Y] [-Y]
;PHL 3 [+X] [-X] [-X] [+X] [+X] [-X] [-X] [+X]
;!RLS +X-X+X-X-Y+Y-Y+Y
[DATA]
-0.0062541  0.0067379
-0.0065423  0.0067944
-0.0061341  0.0065259
-0.0055511  0.0063753
-0.0054521  0.0062376
-0.0051816  0.0068485
-0.0050205  0.0072829
-0.0054396  0.0078166
-0.0055889  0.0083996
-0.0061049  0.0085073
-0.0065635  0.0085259
-0.0067852  0.0077176
-0.0065275  0.0068325
-0.0062683  0.0060791
-0.0060453  0.0052276
-0.0060590  0.0047641
-0.0062286  0.0044313
-0.0065855  0.0036287
-0.0069476  0.0032439
-0.0070800  0.0023250
-0.0072545  0.0011142
-0.0075480  0.0001879
-0.0069845 -0.0007003
-0.0060604 -0.0014521
-0.0053652 -0.0013036
-0.0042723 -0.0015572
-0.0033264 -0.0012358
-0.0022263 -0.0009701
-0.0018096 -0.0008232
-0.0013167 -0.0004413
-0.0008407 -0.0003444
-0.0011132 -0.0001881
-0.0008314  0.0001446
-0.0008363  0.0008633
-0.0007455  0.0011613
-0.0004823  0.0018784
-0.0007912  0.0024393
-0.0007169  0.0026347
-0.0010052  0.0028220
-0.0006265  0.0024744
-0.0003184  0.0020892
 0.0001415  0.0019547
