          D5   _TRIMLEV       INTR       INTI     INTABS    _ITC_R1     _ITC_V
      2E-005 2.861328125      -8.78    -39.385 40.3517858960418     130.04      34.94
  2.7689E-005 2.900390625     -7.834    -42.324 43.0429150035171     130.04      34.94
  3.8333E-005 2.8955078125     -7.878    -41.072 41.8207133846375     130.04      34.94
  5.307E-005   2.890625     -9.744     -38.82 40.0242168692905     130.04      34.94
  7.3472E-005  2.9296875     -7.189    -39.332 39.9835959488388     130.04      34.94
  0.000101717 2.900390625     -8.831    -36.396 37.4520410258239     130.04      34.94
  0.000140821 2.9248046875     -7.494    -33.124 33.9611456226082     130.04      34.94
  0.000194957 2.91015625     -7.974     -30.63 31.6509332563828     130.04      34.94
  0.000269906 2.861328125     -5.309    -26.264 26.7952080977178     130.04      34.94
  0.000373667 2.91015625     -3.808    -22.174 22.4986030677462     130.04      34.94
    0.000517 2.94921875     -4.464    -13.124 13.8624194136521     130.04      34.94
    0.000716 2.9443359375     -3.736     -4.781 6.06759070801583     130.04      34.94
    0.000992 2.9150390625       -0.9      5.938 6.00581751304516     130.04      34.94
    0.001373 2.8173828125       1.35     18.588 18.636959086718     130.04      34.94
      0.0019 3.0517578125      2.339     35.074 35.1519045998933     130.04      34.94
    0.002631 3.0126953125      2.218     44.225 44.2805843344462     130.04      34.94
    0.003642 2.94921875      5.829     57.569 57.8633476563532     130.04      34.94
    0.005043 3.0224609375      6.728     66.317 66.6574112383612     130.04      34.94
    0.006981 3.0224609375      5.533     71.689 71.9022030955937     130.04      34.94
    0.009665 3.02734375      6.977     78.722 79.0305751782182     130.04      34.94
    0.013381 3.02734375      8.424     85.128 85.5437908909817     130.04      34.94
    0.018525 3.0419921875      6.106     87.732 87.9442269850614     130.04      34.94
    0.025647 3.02734375       7.27     91.615 91.9029984548926     130.04      34.94
    0.035506 3.0615234375      8.212     93.892 94.2504355852003     130.04      34.94
    0.049156 3.0322265625      8.479     93.638 94.0211065931475     130.04      34.94
    0.068053 3.06640625      8.929     94.124 94.546572740634     130.04      34.94
    0.094215   3.046875      9.543     93.993 94.4762028131952     130.04      34.94
    0.130435 3.0615234375      8.109     94.716 95.0624875384607     130.04      34.94
    0.180579 3.0126953125      8.297     94.832 95.1942668074081     130.04      34.94
        0.25   2.734375      8.713     95.272 95.6695894890325     130.04      34.94
