          D5   _TRIMLEV       INTR       INTI     INTABS    _ITC_R1     _ITC_V
      2E-005 1.669921875    -18.533    -51.251 54.4989641185959     190.05      27.69
  2.8822E-005 1.58203125    -16.686    -51.514 54.1490054571642     190.05      27.69
  4.1535E-005 1.5869140625     -18.28     -51.81 54.9402812151521     190.05      27.69
  5.9856E-005 1.5966796875    -18.793    -50.446 53.8328502403505     190.05      27.69
  8.6258E-005  1.6015625    -16.598    -50.002 52.6848517887258     190.05      27.69
  0.000124305 1.611328125    -17.572    -48.745 51.815540226847     190.05      27.69
  0.000179135 1.62109375    -16.687     -46.75 49.6388806179189     190.05      27.69
  0.00025815 1.6357421875    -16.082    -45.005 47.7920573840466     190.05      27.69
  0.000372018   1.640625    -13.979    -39.617 42.0109405988488     190.05      27.69
    0.000536 1.650390625    -12.737    -34.133 36.4320306598466     190.05      27.69
    0.000773 1.6552734375     -9.992    -27.081 28.8655612278715     190.05      27.69
    0.001113 1.66015625     -7.378    -16.529 18.1009039829507     190.05      27.69
    0.001604 1.6650390625     -5.284     -4.852 7.17374100452477     190.05      27.69
    0.002312 1.6748046875       0.57      8.756 8.77453337790677     190.05      27.69
    0.003332 1.6845703125      5.415     25.886 26.446308267885     190.05      27.69
    0.004802 1.689453125     10.341     41.782 43.0426742315112     190.05      27.69
     0.00692 1.69921875     13.521     57.283 58.8571111251648     190.05      27.69
    0.009972 1.69921875      17.28     69.919 72.0226697713991     190.05      27.69
    0.014371 1.7041015625     21.057     79.365 82.1109035025191     190.05      27.69
     0.02071 1.7138671875     20.424     86.003 88.3948855138124     190.05      27.69
    0.029845 1.7236328125     21.547     90.678 93.2028588241799     190.05      27.69
    0.043009 1.728515625     20.613     94.245 96.4728759496678     190.05      27.69
    0.061979 1.7333984375     21.737     96.303 98.7257057609618     190.05      27.69
    0.089318 1.7431640625     22.517      97.53 100.095535310023     190.05      27.69
    0.128716 1.7529296875     21.946     98.626 101.038184821383     190.05      27.69
    0.185491 1.7626953125     21.087     97.493 99.7474140917949     190.05      27.69
     0.26731 1.7724609375     21.388     98.518 100.812910224832     190.05      27.69
    0.385218 1.77734375     19.549     97.692 99.6287622376189     190.05      27.69
       0.555   1.796875     20.138    100.262 102.264400883201     190.05      27.69
         0.8 1.8115234375     19.698       97.6 99.5679225654528     190.05      27.69
