          D5   _TRIMLEV       INTR       INTI     INTABS    _ITC_R1     _ITC_V
      2E-005 1.54296875    -19.269    -43.594 47.6626813870139     135.01      25.39
  2.7689E-005 1.552734375    -21.063    -43.108 47.9786372565958     135.01      25.39
  3.8333E-005 1.54296875    -19.764    -44.149 48.37096129911     135.01      25.39
  5.307E-005 1.5380859375    -19.608    -40.089 44.6273636348821     135.01      25.39
  7.3472E-005 1.54296875    -18.939    -40.253 44.485837409225     135.01      25.39
  0.000101717 1.5576171875    -19.768    -38.493 43.2722182583699     135.01      25.39
  0.000140821 1.5576171875    -17.047     -36.21 40.0220477861891     135.01      25.39
  0.000194957     1.5625    -16.092    -34.394 37.9723544173916     135.01      25.39
  0.000269906 1.552734375    -15.753    -29.722 33.6385833976403     135.01      25.39
  0.000373667 1.54296875    -12.906    -23.824 27.0951621512033     135.01      25.39
    0.000517 1.54296875       -8.8    -17.281 19.3926006765467     135.01      25.39
    0.000716 1.552734375     -6.484     -8.277 10.5143228502838     135.01      25.39
    0.000992 1.5478515625  -0.353901   0.395303 0.53057551734885     135.01      25.39
    0.001373 1.54296875      2.553     14.808 15.0264657521321     135.01      25.39
      0.0019 1.533203125      7.415     27.108 28.1038411787428     135.01      25.39
    0.002631 1.533203125     15.036     38.631 41.4540161745518     135.01      25.39
    0.003642 1.54296875     18.301     51.073 54.252907111048     135.01      25.39
    0.005043 1.5478515625     21.424       63.3 66.8272233150533     135.01      25.39
    0.006981 1.5380859375     25.354     70.943 75.3374711879819     135.01      25.39
    0.009665 1.5283203125     27.911     78.263 83.0910409731398     135.01      25.39
    0.013381 1.533203125     29.448     84.611 89.5890954580969     135.01      25.39
    0.018525 1.5283203125     30.868     88.031 93.2860674752666     135.01      25.39
    0.025647  1.5234375     32.524     92.836 98.3683560501038     135.01      25.39
    0.035506 1.5283203125     32.798     92.895 98.5149218595843     135.01      25.39
    0.049156 1.5283203125     33.427     94.943 100.655539231579     135.01      25.39
    0.068053 1.5283203125     32.544     96.049 101.412634010758     135.01      25.39
    0.094215 1.533203125     33.004     97.962 103.372227701641     135.01      25.39
    0.130435 1.5380859375     32.769     94.227 99.762392162578     135.01      25.39
    0.180579 1.5380859375     30.529     96.833 101.531520869137     135.01      25.39
        0.25 1.54296875     31.162      96.37 101.283005208179     135.01      25.39
