[PARAMETERS]
DW=1E-007
TAU=0.0001
TD=4096
BS=4096
NS=128
NSC=128
FR=56.260000
GAIN=4.974204
D0=0.25
D1=9E-006
D2=1.5E-005
D3=2.5E-005
D4=1E-005
D5=3.95961311441747E-005
D6=0.0006
D7=0.001
D8=0.001
D9=0.25
C0=1
SEGTD=0
SEGOFF=0
SEGNUM=0
[ADDITIONAL]
PPFILE=ZG_three_T1_solid.PC
DATEWR=10.09.2024
TIMEWR=13:43:16
DATESTA=10.09.2024
TIMESTA=13:42:42
DATEEND=10.09.2024
TIMEEND=13:43:15
CURR_Z0=0
CURR_Z1=1
TE=-1
[VARIABLES]
_USER=Measurements
_EMAIL_F=7NMR.NMR-270-ijs.si
_ITC_H=1
_ITC_R0=200.00
_ITC_R1=200.02
_ITC_R2=200.39
_ITC_R3=  0.00
_ITC_R4=  0.02
_ITC_V= 22.69
_ITC_X=X0A1C1S00H1
_FW=100
_ORIENT=?
_THETA=0
_TITLE=?
_DESCR1=?
_DESCR2=?
_FR_LARM=56.26000000
_FR_SYNT=526.26000000
_TRIMLEV=1.5478515625
_DATE=10.09.2024
_TIME=13:41:24
_ITC_DIR=I2
[PPFILE]
; three pulses for T_1 experiment

DELAY 1m
PULSE [GT] 3u
PULSE [PHL3,GT] D2
DELAY D5-3u
PULSE [GT] 3u
PULSE [PHL1,GT] D1
DELAY TAU-3u
PULSE [GT] 3u
PULSE [PHL2,GT] D1
DELAY TAU-D3
PULSE [TR] 1u+DW
DELAY D9
STOP

PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y] [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
PHL 2 [+Y] [-Y] [-Y] [+Y] [-X] [+X] [+X] [-X] [+X] [-X] [-X] [+X] [-Y] [+Y] [+Y] [-Y]
PHL 3 [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] 
[-X] [-X] [-X] [-X]
!RLS +X-X+X-X+Y-Y+Y-Y-X+X-X+X-Y+Y-Y+Y

;PHL 1 [+X] [-X] [+X] [-X]
;PHL 2 [+Y] [-Y] [-Y] [+Y]
;PHL 3 [+X] [-X] [+X] [-X]
;!RLS +X-X+X-X

;PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
;PHL 2 [+Y] [-Y] [-Y] [+Y] [-Y] [+Y] [+Y] [-Y]
;PHL 3 [+X] [-X] [-X] [+X] [+X] [-X] [-X] [+X]
;!RLS +X-X+X-X-Y+Y-Y+Y
[DATA]
-0.0062497  0.0058119
-0.0061799  0.0063853
-0.0063806  0.0064067
-0.0059664  0.0066994
-0.0062014  0.0061289
-0.0062042  0.0053663
-0.0059894  0.0045092
-0.0061626  0.0034562
-0.0065986  0.0023859
-0.0069394  0.0014460
-0.0075502  0.0005985
-0.0076039 -0.0003051
-0.0078377 -0.0008401
-0.0080703 -0.0012039
-0.0079370 -0.0010040
-0.0073456 -0.0009426
-0.0070565 -0.0008759
-0.0064630 -0.0009082
-0.0056349 -0.0008710
-0.0045387 -0.0009902
-0.0035632 -0.0010350
-0.0026996 -0.0010439
-0.0020133 -0.0009188
-0.0012284 -0.0006342
-0.0007294 -0.0003616
-0.0002836 -0.0000891
-0.0002226  0.0006453
-0.0001515  0.0011513
-0.0000206  0.0014267
-0.0001747  0.0025794
-0.0004686  0.0040167
-0.0009724  0.0048133
-0.0012719  0.0059356
-0.0021166  0.0066179
-0.0031885  0.0065084
-0.0037724  0.0060958
