          D5   _TRIMLEV       INTR       INTI     INTABS    _ITC_R1     _ITC_V
      2E-005 1.5478515625    -11.286    -41.306 42.8200821110843     200.02      22.75
  2.8141E-005 1.5478515625    -10.222    -42.728 43.9337144798844     200.01       22.8
  3.9596E-005 1.5478515625     -8.387    -40.049 40.9177732776357     200.02      22.69
  5.5714E-005 1.552734375     -9.148     -42.65 43.6200458963537     199.99      22.77
  7.8393E-005 1.5478515625    -11.521    -40.731 42.3290420633399     200.01          0
  0.000110303 1.552734375     -7.925    -42.144 42.8826580449487     200.04      22.61
  0.000155202 1.5478515625     -7.637    -39.022 39.7622968778213     199.99      22.85
  0.000218378 1.552734375     -7.102    -37.289 37.9592929992117     199.95      22.99
  0.000307271 1.552734375     -6.361    -35.999 36.5566727424693        200      22.76
  0.000432347 1.552734375     -6.027    -31.448 32.0203284336685     200.07      22.57
    0.000608 1.552734375     -5.474    -27.525 28.0640392851777     199.96      22.95
    0.000856 1.5576171875     -3.939    -21.423 21.7821176656449     200.05      22.63
    0.001204 1.5576171875     -1.343    -13.759 13.824388955755     199.98          0
    0.001695 1.5576171875      1.806     -6.347 6.59894271834511     200.04      22.64
    0.002384 1.5576171875      3.388      5.885 6.79056470405812     199.99      22.82
    0.003355 1.5576171875      6.406     17.728 18.8499023870152     200.05      22.59
    0.004721 1.5576171875      8.849     28.711 30.0437401466595        200       22.8
    0.006642 1.5576171875     11.514     37.485 39.2134851932342     199.98      22.87
    0.009346 1.5576171875     12.703     46.296 48.0071434788616     199.94         23
    0.013151 1.5576171875     16.171     53.335 55.7326068473385     200.03      22.69
    0.018504 1.5576171875     16.283     59.566 61.7514732212925     200.02      22.75
    0.026036 1.5576171875     17.389     62.393 64.7708558689786     200.03      22.68
    0.036634 1.5576171875     18.758     66.701 69.2884259093826     200.03      22.68
    0.051546 1.5576171875     18.884     68.313 70.8750409170958     199.98      22.86
    0.072528 1.5576171875     20.131     68.165 71.075483719775     199.99      22.79
     0.10205 1.5576171875     20.003     69.859 72.6663600987417     200.03      22.62
    0.143591 1.5576171875     19.364     69.797 72.4333190251558     200.01      22.76
     0.20204 1.5576171875     18.836     70.013 72.5025176459411        200      22.79
    0.284282 1.5576171875     19.447     69.415 72.0876413402464        200      22.82
         0.4     1.5625     20.037     71.336 74.0966009004462     199.98      22.83
