        FREQ         D1         D0     INTABS    _ITC_R1     _ITC_V   _TRIMLEV
       56.36   7.5E-006       0.05 69.2289971399269      80.03          0 1.552734375
       56.38   7.5E-006       0.05 59.9543375912035      80.03          0 1.5283203125
        56.4   7.5E-006       0.05 52.4890054773378      80.03          0 1.533203125
       56.42   7.5E-006       0.05 45.0202750102662      80.03          0 1.494140625
       56.44   7.5E-006       0.05 40.6069637623893      80.03          0 1.591796875
       56.46   7.5E-006       0.05 35.2692844554578      80.03          0 1.5185546875
       56.48   7.5E-006       0.05 31.0032264772556      80.03          0     1.5625
        56.5   7.5E-006       0.05 26.0065422922771      80.03          0 1.6259765625
       56.52   7.5E-006       0.05 23.5636130506338      80.03          0 1.6064453125
       56.54   7.5E-006       0.05 25.1349012530386      80.03          0 1.4892578125
       56.56   7.5E-006       0.05 24.2393338049058      80.03          0 1.62109375
       56.58   7.5E-006       0.05 23.1935444294102      80.03          0 1.5869140625
        56.6   7.5E-006       0.05 23.8529473440915      80.03          0 1.5869140625
       56.62   7.5E-006       0.05 21.9291102350055      80.03          0 1.5966796875
       56.64   7.5E-006       0.05 20.4850511837291      80.03          0 1.5283203125
       56.66   7.5E-006       0.05 18.7487826271468      80.03          0 1.474609375
       56.68   7.5E-006       0.05 15.9193663818633      80.03          0 1.513671875
        56.7   7.5E-006       0.05 13.7588692122572      80.03          0 1.5478515625
       56.72   7.5E-006       0.05 9.78221989121079      80.03          0 1.6259765625
       56.74   7.5E-006       0.05 7.65372778455048      80.03          0 1.494140625
       56.76   7.5E-006       0.05 4.63745296472104      80.03          0   1.640625
       56.78   7.5E-006       0.05 1.90516913708468      80.03          0 1.5771484375
        56.8   7.5E-006       0.05 1.97062452029807      80.03          0     1.5625
       56.82   7.5E-006       0.05 1.08243117166913      80.03          0 1.455078125
