T(K);T1(s);fr(MHz);r;y0;s;dT1;popts0;popts1;popts2;popts3;integral left;integral right;SHL;phase;mirroring;TAU(us);D1(us);D2(us);D3(us);D9(ms);NS
100.0;0.010365154481631396;56.21;0.7713365868150067;2030.5458673495555;0.24526880245836033;0.00010760787020268186;0.010365154481631396;2030.5458673495555;0.24526880245836033;0.7713365868150067;4080;4112;335;2.1888647425234904;True;100.0;5.0;12.0;25.0;30;512
105.0;0.00953799379189715;56.21;0.7753785440249872;2113.428766352223;0.25138657417329324;0.00019544233184663434;0.00953799379189715;2113.428766352223;0.25138657417329324;0.7753785440249872;4081;4115;331;2.2030229568693604;True;100.0;5.0;12.0;25.0;30;2048
110.0;0.012368283262808834;56.21;0.773419156139901;2265.9966202992387;0.21962836690183596;0.00032065514754776506;0.012368283262808834;2265.9966202992387;0.21962836690183596;0.773419156139901;4078;4115;331;2.2820994014840768;True;100.0;5.0;12.0;25.0;30;2048
115.0;0.0157920074187268;56.21;0.7997826044780563;2218.193182018993;0.1930461914254147;0.0001968504117855801;0.0157920074187268;2218.193182018993;0.1930461914254147;0.7997826044780563;4078;4115;331;2.381315474202296;True;100.0;5.0;12.0;25.0;30;2048
120.0;0.017273609780152764;56.21;0.8393719143557676;2165.669885473402;0.1759018341225759;0.0002274587634568015;0.017273609780152764;2165.669885473402;0.1759018341225759;0.8393719143557676;4078;4115;331;2.4773847710075136;True;100.0;5.0;12.0;25.0;30;2048
125.0;0.019101323060730816;56.21;0.7714562082017832;2063.361913375758;0.1831962084472949;0.000407269828274787;0.019101323060730816;2063.361913375758;0.1831962084472949;0.7714562082017832;4078;4115;330;2.5703350521062784;True;100.0;5.0;12.0;25.0;30;2048
130.0;0.02267572158032523;56.21;0.7867461542648021;2002.7490220802536;0.18094227078739902;0.0004286693152938961;0.02267572158032523;2002.7490220802536;0.18094227078739902;0.7867461542648021;4078;4115;330;2.6515704970314653;True;100.0;5.0;12.0;25.0;30;2048
135.0;0.024729594981550102;56.21;0.8375694883423898;1952.6476032555797;0.13854836280749563;0.0003129633276857832;0.024729594981550102;1952.6476032555797;0.13854836280749563;0.8375694883423898;4078;4115;330;2.758684547276493;True;100.0;5.0;12.0;25.0;30;2048
140.0;0.028188411872777458;56.21;0.8238175335906263;1868.9552704578534;0.1363963341005326;0.00026610473490364334;0.028188411872777458;1868.9552704578534;0.1363963341005326;0.8238175335906263;4078;4115;330;2.845071500129496;True;100.0;5.0;12.0;25.0;30;2048
145.0;0.031034106427584248;56.21;0.8158004024419118;1790.8003234953096;0.12934150105993963;0.00036837338197678594;0.031034106427584248;1790.8003234953096;0.12934150105993963;0.8158004024419118;4078;4115;330;2.9333651483225194;True;100.0;5.0;12.0;25.0;30;2048
150.0;0.03409947783656241;56.21;0.8389905168139666;1681.1374080029002;0.12335642016542794;0.00035006782711358093;0.03409947783656241;1681.1374080029002;0.12335642016542794;0.8389905168139666;4078;4115;330;3.0487346489666534;True;100.0;5.0;12.0;25.0;30;2048
