T(K);T1(s);fr(MHz);r;y0;s;dT1;popts0;popts1;popts2;popts3;integral left;integral right;SHL;phase;mirroring;TAU(us);D1(us);D2(us);D3(us);D9(ms);NS
80.0;0.004045258098471669;56.14;0.69232235972865;1445.4422361048667;0.5373160065788638;8.421712104693757e-05;0.004045258098471669;1445.4422361048667;0.5373160065788638;0.69232235972865;4086;4105;334;-0.11020751604464751;True;100.0;5.0;9.5;25.0;50;128
85.0;0.004712892024776681;56.142;0.7034895022792544;1469.4267863682146;0.5315060489012876;9.434970376981182e-05;0.004712892024776681;1469.4267863682146;0.5315060489012876;0.7034895022792544;4086;4105;333;-0.035202026585962796;True;100.0;5.0;9.5;25.0;50;128
90.0;0.005408999997044512;56.143;0.7192864786095516;1501.1946036454049;0.5282635859578261;0.00011549498290358761;0.005408999997044512;1501.1946036454049;0.5282635859578261;0.7192864786095516;4086;4105;333;-0.037027652424575175;True;100.0;5.0;9.5;25.0;50;128
95.0;0.006684013981788983;56.144;0.748866380257979;1486.0766739585063;0.5113933847535549;0.00014453859543280624;0.006684013981788983;1486.0766739585063;0.5113933847535549;0.748866380257979;4086;4105;332;-0.07961025794595891;True;100.0;5.0;9.5;25.0;50;128
100.0;0.007641254904141211;56.146;0.7576074167708337;1450.0969129138714;0.5207566796101807;0.00014473477587061178;0.007641254904141211;1450.0969129138714;0.5207566796101807;0.7576074167708337;4086;4105;334;-0.02067823022179168;True;100.0;5.5;10.5;25.0;50;128
102.5;0.007915025732105336;56.146;0.7433303916499509;1466.103773861409;0.533474736510042;0.0001648723290565045;0.007915025732105336;1466.103773861409;0.533474736510042;0.7433303916499509;4086;4105;334;-0.05803758236137239;True;100.0;5.5;10.5;25.0;50;128
105.0;0.008589919370759822;56.147;0.7725721558416981;1456.058692661974;0.5176308135505039;0.00016976047333295242;0.008589919370759822;1456.058692661974;0.5176308135505039;0.7725721558416981;4086;4105;332;0.017553354169833172;True;100.0;5.5;10.5;25.0;50;128
107.5;0.008580019639721938;56.147;0.7718975992328931;1428.163938436185;0.5267103304949402;0.00018453372124691591;0.008580019639721938;1428.163938436185;0.5267103304949402;0.7718975992328931;4086;4105;334;-0.05879468701321677;True;100.0;5.5;10.5;25.0;75;128
110.0;0.00894498154367375;56.148;0.7874970049989097;1425.677710450286;0.5212255810008681;0.00019561972647829455;0.00894498154367375;1425.677710450286;0.5212255810008681;0.7874970049989097;4086;4105;333;-0.048385538294767154;True;100.0;5.5;10.5;25.0;75;128
115.0;0.01039765308165822;56.149;0.7845601041855578;1393.86100079118;0.5169959947449729;0.00019936759084150215;0.01039765308165822;1393.86100079118;0.5169959947449729;0.7845601041855578;4086;4105;333;-0.07628815185883187;True;100.0;5.5;10.5;25.0;75;128
120.0;0.011561095012143845;56.15;0.8025359864923366;1362.1625651015313;0.508098353987284;0.0001881968141863751;0.011561095012143845;1362.1625651015313;0.508098353987284;0.8025359864923366;4086;4105;333;-0.024396216096834476;True;100.0;5.5;10.5;25.0;75;128
125.0;0.012353406037124074;56.151;0.8047467405309939;1320.223727260575;0.5078909290142758;0.00023290004023504305;0.012353406037124074;1320.223727260575;0.5078909290142758;0.8047467405309939;4086;4105;332;-0.07051483711443494;True;100.0;5.5;10.5;25.0;75;128
130.0;0.013342317973094073;56.152;0.8236959131138909;1250.9087642871443;0.48492055203582457;0.00030372591849062207;0.013342317973094073;1250.9087642871443;0.48492055203582457;0.8236959131138909;4086;4105;330;1.3407517796868094;True;100.0;5.0;10.0;25.0;100;128
140.0;0.015380716122045572;56.154;0.8311417050475628;1190.1292101241477;0.5073871110424031;0.00028375758991069553;0.015380716122045572;1190.1292101241477;0.5073871110424031;0.8311417050475628;4086;4105;331;-0.02696872921738762;True;100.0;5.5;11.0;25.0;150;128
150.0;0.017462211703956388;56.155;0.8448048626294837;1117.6917656118235;0.4996548272950232;0.00027722115744009115;0.017462211703956388;1117.6917656118235;0.4996548272950232;0.8448048626294837;4086;4105;332;-0.031186058718622216;True;100.0;5.5;11.0;25.0;200;128
160.0;0.020068211800706573;56.157;0.8274196047880601;1055.491811425274;0.4923287443389396;0.00032705445478494995;0.020068211800706573;1055.491811425274;0.4923287443389396;0.8274196047880601;4086;4105;332;0.19912903197331774;True;100.0;6.0;12.0;25.0;200;128
170.0;0.022865934752543428;56.158;0.847742741179833;987.2703572731741;0.4902371424371482;0.0003614799996629613;0.022865934752543428;987.2703572731741;0.4902371424371482;0.847742741179833;4086;4105;332;-0.04715551384918923;True;100.0;6.0;12.0;25.0;200;128
180.0;0.02512780583693118;56.16;0.8710677679858746;942.5327307142933;0.4851623821553731;0.0003804675859533674;0.02512780583693118;942.5327307142933;0.4851623821553731;0.8710677679858746;4086;4105;332;-0.018345432407651508;True;100.0;6.0;12.0;25.0;200;128
190.0;0.027262718155041055;56.161;0.8580284468571409;898.6389962393819;0.4819346460343147;0.0005130459906033845;0.027262718155041055;898.6389962393819;0.4819346460343147;0.8580284468571409;4086;4105;332;-0.021749405274792917;True;100.0;6.0;12.0;25.0;200;128
200.0;0.029623486066227955;56.162;0.8474915503375803;857.6088056390695;0.48131811254053936;0.00043129415771145255;0.029623486066227955;857.6088056390695;0.48131811254053936;0.8474915503375803;4086;4105;335;-0.028735951828524155;True;100.0;6.0;12.0;25.0;200;128
210.0;0.03175294019872206;56.163;0.8765008918162964;821.0228404978894;0.4779590023384648;0.0005993877753714881;0.03175294019872206;821.0228404978894;0.4779590023384648;0.8765008918162964;4086;4105;330;-0.025848888648538466;True;100.0;6.0;12.0;25.0;200;128
220.0;0.03405735500883064;56.164;0.8660872576964466;790.6474070776239;0.47740038859729694;0.0005778447698809027;0.03405735500883064;790.6474070776239;0.47740038859729694;0.8660872576964466;4086;4105;331;-0.03286721370093743;True;100.0;6.0;12.0;25.0;250;128
230.0;0.03642705347954994;56.165;0.854005951905207;766.4734766454607;0.47113413019078343;0.0006966781770490638;0.03642705347954994;766.4734766454607;0.47113413019078343;0.854005951905207;4086;4105;332;-0.029465187615776843;True;100.0;6.0;12.0;25.0;250;128
240.0;0.039138027915230134;56.166;0.8568045883939243;728.3599284757265;0.4753322034584007;0.0007042520510414148;0.039138027915230134;728.3599284757265;0.4753322034584007;0.8568045883939243;4086;4105;336;0.02842637256663826;True;100.0;6.5;12.5;25.0;250;128
250.0;0.04024140478239705;56.167;0.8851856687963663;709.4678926430676;0.47810245059383777;0.0008340667755895011;0.04024140478239705;709.4678926430676;0.47810245059383777;0.8851856687963663;4086;4105;337;0.01900483838942748;True;100.0;6.5;12.5;25.0;250;128
260.0;0.04196581864981576;56.168;0.86056869872107;712.188267661415;0.4847764142561258;0.000816281799921893;0.04196581864981576;712.188267661415;0.4847764142561258;0.86056869872107;4086;4105;336;-0.032637421033669414;True;100.0;6.5;13.0;25.0;250;128
270.0;0.04481830243633596;56.169;0.8679686243450719;688.9609347061589;0.4814810583612196;0.0006899843421936128;0.04481830243633596;688.9609347061589;0.4814810583612196;0.8679686243450719;4086;4105;334;-0.029116811072444623;True;100.0;6.5;13.0;25.0;275;128
