tau(s);Signal(a.u.)
2e-05;-186.39182668351881
2.74764759176652e-05;-182.051011388065
3.77478364427018e-05;-171.8978785567589
5.1858875948093e-05;-168.54999392774693
7.12449578052482e-05;-160.86050832255523
9.78780183695488e-05;-154.99489403421742
0.000134467150729985;-138.67862778745445
0.000184734171437475;-113.43460110183406
0.00025379220063358;-92.14147323894876
0.000348665764439991;-57.2896120458251
0.000479005323997487;-10.918942989054603
0.000658068912462518;47.8148884387036
0.000904070731272026;130.40722848754024
0.00124203388378309;218.4752079993452
0.00170633570483451;329.36184323386044
0.00234420459506689;464.47990927179205
0.00322052405512177;613.7245827629621
0.00442443258214074;772.6237108060371
0.00607839076462616;945.4625206131062
0.00835063787312047;1103.3112692021925
0.0114723050208969;1257.5536293118262
0.0157609256313391;1403.3240051993512
0.0216527346774801;1512.326143072009
0.0297470421458688;1584.1497033532498
0.0408671943571368;1627.018303430759
0.0561443240788206;1655.630138899298
0.0771324084232652;1663.9432908435813
0.105966338125668;1659.8852771389638
0.145579076879654;1655.5196035248691
0.199999999999988;1664.9335851172937
