tau(s);Signal(a.u.)
2e-05;-1070.9056001581705
2.81411197873058e-05;-1064.041718461936
3.95961311441747e-05;-1050.5848036183265
5.57139734821045e-05;-1044.3391646792652
7.83926800793341e-05;-1027.653513767288
0.000110302890028024;-973.5015545841496
0.000155202342058232;-948.4322205800964
0.000218378384956556;-885.2032178157483
0.000307270614501041;-824.2280999063529
0.000432346958489643;-711.049625522285
0.000608336377426719;-584.3329863482595
0.000855963343407048;-412.38925955181594
0.00120438834901803;-181.5132334411563
0.00169464184000759;101.31459784439315
0.00238445595081169;436.04611803062176
0.0033550630269673;774.3471577221271
0.00472076152679237;1149.7533777926503
0.00664237578063844;1497.8410744773398
0.00934619462576226;1774.316852718166
0.0131506191259525;2030.5073245745655
0.0185036574050332;2213.4876787677704
0.0260356819769153;2350.6073072721592
0.0366336622628286;2474.0401403432556
0.0515456138992982;2569.6580616114393
0.0725275647625183;2622.1014547858636
0.10205034439318;2624.7166998905545
0.143590548295215;2629.8565926650012
0.202039940995028;2632.4156005447176
0.284281509068064;2617.3321655968566
0.400000000000023;2584.748647948312
