tau(s);Signal(a.u.)
2e-05;-1231.7558988373216
2.74764759176652e-05;-1174.2534059156378
3.77478364427018e-05;-1203.5224532711775
5.1858875948093e-05;-1181.1519685163535
7.12449578052482e-05;-1111.3274068486223
9.78780183695488e-05;-1039.616809232014
0.000134467150729985;-947.677563366706
0.000184734171437475;-815.8318269340365
0.00025379220063358;-633.0408707429266
0.000348665764439991;-428.6841164848853
0.000479005323997487;-177.91431993031316
0.000658068912462518;115.92371244817537
0.000904070731272026;443.7290354077038
0.00124203388378309;796.4258677552901
0.00170633570483451;1172.772727260136
0.00234420459506689;1516.8535334450266
0.00322052405512177;1802.3993812859017
0.00442443258214074;2015.1246258334183
0.00607839076462616;2250.174341913315
0.00835063787312047;2393.5607529124213
0.0114723050208969;2484.6779117878064
0.0157609256313391;2564.275724128559
0.0216527346774801;2655.3702873939105
0.0297470421458688;2717.865970402141
0.0408671943571368;2714.1314006747803
0.0561443240788206;2698.456803646786
0.0771324084232652;2711.382240167332
0.105966338125668;2699.730344987286
0.145579076879654;2707.3177175630053
0.199999999999988;2680.723170760956
