tau(s);Signal(a.u.)
2e-05;-661.8936231216003
2.81411197873058e-05;-644.722089856273
3.95961311441747e-05;-628.9453348021337
5.57139734821045e-05;-586.4088152775206
7.83926800793341e-05;-552.9671133900696
0.000110302890028024;-511.20264247688704
0.000155202342058232;-415.2780260900181
0.000218378384956556;-325.2102567714187
0.000307270614501041;-200.92858294264826
0.000432346958489643;-51.81187460001884
0.000608336377426719;133.16066957755027
0.000855963343407048;328.95353477659336
0.00120438834901803;522.7791542320656
0.00169464184000759;721.4769156246591
0.00238445595081169;905.48105112695
0.0033550630269673;1040.2575342342027
0.00472076152679237;1166.173463184115
0.00664237578063844;1262.889884283822
0.00934619462576226;1333.2680038098
0.0131506191259525;1396.7449875655352
0.0185036574050332;1428.7815033245474
0.0260356819769153;1459.2994537892037
0.0366336622628286;1468.8168894234827
0.0515456138992982;1472.3029175830113
0.0725275647625183;1466.2982345115072
0.10205034439318;1481.0218790095087
0.143590548295215;1475.5770957550824
0.202039940995028;1466.2387196276854
0.284281509068064;1474.151746009616
0.400000000000023;1471.9890948545926
