tau(s);Signal(a.u.)
2e-05;-1229.7568939899916
2.74764759176652e-05;-1151.651096273195
3.77478364427018e-05;-1084.7789953385702
5.1858875948093e-05;-1015.3957522720032
7.12449578052482e-05;-906.0569299602623
9.78780183695488e-05;-756.8944497442022
0.000134467150729985;-558.8625383077976
0.000184734171437475;-349.4868540654369
0.00025379220063358;-68.07435429756167
0.000348665764439991;237.9656841922118
0.000479005323997487;561.7407220798352
0.000658068912462518;894.0319925384781
0.000904070731272026;1233.4868760585864
0.00124203388378309;1531.5486667920745
0.00170633570483451;1774.9232308803114
0.00234420459506689;2018.3501612035182
0.00322052405512177;2186.898381551036
0.00442443258214074;2343.8873060682376
0.00607839076462616;2440.409054862917
0.00835063787312047;2546.369229907767
0.0114723050208969;2592.4044792929767
0.0157609256313391;2625.1068908194216
0.0216527346774801;2665.702803244637
0.0297470421458688;2664.6304928579257
0.0408671943571368;2660.5442516448697
0.0561443240788206;2648.5166759032645
0.0771324084232652;2658.224046804243
0.105966338125668;2651.959469306899
0.145579076879654;2660.6723396333778
0.199999999999988;2660.546038229495
