tau(s);Signal(a.u.)
2e-05;-657.3509364478871
2.8821841099875e-05;-665.0692767304914
4.15349262193222e-05;-661.7498393963424
5.98556521794168e-05;-659.2735471356029
8.62575048022269e-05;-658.9379407802388
0.000124305004854074;-641.8198103389439
0.000179134954891166;-606.3947714935904
0.000258149960265323;-606.2708000468233
0.00037201785673531;-538.2959590519752
0.000536111977657058;-449.9792028529246
0.000772586711588573;-367.29006482487677
0.00111336857186404;-275.8715549502316
0.00160446660319301;-131.9581335214529
0.00231218407436425;107.0574898212577
0.0033320700992494;352.66649509669395
0.00480181974671055;582.2440593378975
0.00691986428649667;905.9631364483072
0.00997216144490535;1135.9460577287412
0.0143708026293681;1371.8550524171776
0.0207096494930656;1525.3385580723825
0.0298445113461622;1682.5457210258996
0.0430086881861252;1765.0881843266188
0.0619794788407286;1856.07770728516
0.0893181345300273;1924.172473217053
0.128715654038085;1931.1338371295947
0.185491106387609;1929.4141528571918
0.267309759687184;1918.5306636223713
0.385217970907489;1898.5544045458591
0.555134557315596;1931.5983109333824
0.799999999999977;1930.1692746430597
