tau(s);Signal(a.u.)
2e-05;-881.9107237259906
2.76887120420678e-05;-869.2951893923805
3.83332387274275e-05;-839.629612719016
5.30699004381791e-05;-793.1057803858289
7.34718595666975e-05;-794.5921199608962
0.000101717058136877;-745.3220561240454
0.000140820716625912;-684.5666260587175
0.000194957213610626;-634.8735717265799
0.000269905707409426;-518.0066633388751
0.00037366707054851;-373.3477352467329
0.000517317995801036;-225.05406274409066
0.000716193450995726;3.370181508873284
0.000991523711551772;243.57980147961047
0.00137270072660197;545.457856300206
0.00190041575694095;889.6100341969983
0.00263100323270732;1224.2384754724235
0.00364245454460912;1506.9058540535134
0.00504274375060016;1772.7072219763274
0.00698135398061524;1965.9571828363469
0.00966523500164996;2163.77736793776
0.01338089543898;2298.920834308651
0.0185249880337468;2396.262535861912
0.0256466529624584;2480.5498877210184
0.0355061394360177;2546.410304457255
0.0491559635284701;2590.35789891117
0.0680532659645098;2563.293813577181
0.0942153642406783;2583.554321308194
0.130435104519934;2577.5313254706316
0.180579002461473;2584.343603126847
0.249999999999979;2615.496602863124
