fr(MHz);area(A.U.)
55.7;-6.993596842742339
55.72;-2.2315325696752653
55.74;7.579835098527541
55.76;17.927416659343642
55.78;3.3996092987807236
55.8;-0.43589783313669095
55.82;7.64417112090282
55.84;21.02374137373161
55.86;64.82336280556956
55.88;128.85481173252938
55.9;209.89370205801603
55.92;311.9190542024626
55.94;418.6437334332443
55.96;526.9540484196436
55.98;627.755204165114
56.0;673.3650888678164
56.02;741.9423097021496
56.04;766.1690899870009
56.06;852.2633867763723
56.08;1041.9611318209863
56.1;1389.122332856853
56.12;1785.7036111602108
56.14;2188.787927585806
56.16;2479.715478795953
56.18;2772.8725006582035
56.2;2864.4865512269753
56.22;2612.114949288278
56.24;2434.4440748725806
56.26;1996.119790698248
56.28;1627.7578768632613
56.3;1294.5377929234887
56.32;1054.3713881406684
56.34;857.0226341835563
56.36;677.1216068257866
56.38;562.3567104291184
56.4;476.65710750078904
56.42;386.15113629589007
56.44;345.4789617707271
56.46;319.40553956633767
56.48;293.16997931586627
56.5;282.7135771372016
56.52;241.0879322855169
56.54;195.4753969781608
56.56;143.51401583498549
56.58;66.36734936495534
56.6;35.35621793333624
56.62;15.835755086997011
56.64;11.836547269760123
56.66;-4.0707769453916
56.68;-7.634960072712636
56.7;1.7172408791626772
56.72;-9.740266886954727
56.74;2.3967939851714695
56.76;6.360844873077303
56.78;2.1302889500099655
