[PARAMETERS]
DW=1E-007
TAU=0.0001
TD=4096
BS=4096
NS=128
NSC=128
FR=56.167000
GAIN=4.974204
D0=0.05
D1=6.5E-006
D2=1.25E-005
D3=2.5E-005
D4=1E-005
D5=6.50935326447599E-005
D6=0.001
D7=0.001
D8=0.001
D9=0.25
C0=1
SEGTD=0
SEGOFF=0
SEGNUM=0
[ADDITIONAL]
PPFILE=ZG_three_T1.PC
DATEWR=18.09.2024
TIMEWR=12:18:58
DATESTA=18.09.2024
TIMESTA=12:18:25
DATEEND=18.09.2024
TIMEEND=12:18:57
CURR_Z0=0
CURR_Z1=1
TE=-1
[VARIABLES]
_USER=Measurements
_EMAIL_F=7NMR.NMR-270-ijs.si
_ITC_H=1
_ITC_R0=250.00
_ITC_R1=250.03
_ITC_R2=250.42
_ITC_R3=  0.00
_ITC_R4=  0.03
_ITC_V= 27.01
_ITC_X=X0A1C1S00H1
_FW=100
_ORIENT=?
_THETA=0
_TITLE=?
_DESCR1=?
_DESCR2=?
_FR_LARM=56.16700000
_FR_SYNT=526.16700000
_TRIMLEV=1.650390625
_DATE=18.09.2024
_TIME=12:16:39
_ITC_DIR=M35
[PPFILE]
; three pulses for T_1 experiment

DELAY 1m
PULSE [GT] 3u
PULSE [PHL3,GT] D2
DELAY D5-3u
PULSE [GT] 3u
PULSE [PHL1,GT] D1
DELAY TAU-3u
PULSE [GT] 3u
PULSE [PHL2,GT] 2*D1
DELAY TAU-D3
PULSE [TR] 1u+DW
DELAY D9
STOP

PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y] [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
PHL 2 [+Y] [-Y] [-Y] [+Y] [-X] [+X] [+X] [-X] [+X] [-X] [-X] [+X] [-Y] [+Y] [+Y] [-Y]
PHL 3 [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X]
!RLS +X-X+X-X+Y-Y+Y-Y-X+X-X+X-Y+Y-Y+Y

;PHL 1 [+X] [-X] [+X] [-X]
;PHL 2 [+Y] [-Y] [-Y] [+Y]
;PHL 3 [+X] [-X] [+X] [-X]
;!RLS +X-X+X-X

;PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
;PHL 2 [+Y] [-Y] [-Y] [+Y] [-Y] [+Y] [+Y] [-Y]
;PHL 3 [+X] [-X] [-X] [+X] [+X] [-X] [-X] [+X]
;!RLS +X-X+X-X-Y+Y-Y+Y
[DATA]
-0.0022865  0.0019557
-0.0026377  0.0014402
-0.0027237  0.0009387
-0.0024236  0.0003997
-0.0024749  0.0000133
-0.0017053  0.0000876
-0.0013601 -0.0006073
-0.0012669 -0.0008233
-0.0009665 -0.0011144
-0.0005535 -0.0011746
-0.0004458 -0.0011593
 0.0000266 -0.0013333
-0.0001507 -0.0014908
 0.0005328 -0.0007212
 0.0008732 -0.0008343
 0.0009285 -0.0006558
 0.0010044 -0.0000574
 0.0016774 -0.0000699
 0.0013363 -0.0001866
 0.0018724  0.0000209
 0.0019330  0.0000370
 0.0017792 -0.0000243
 0.0012232  0.0003144
 0.0007626  0.0012692
-0.0000445  0.0019992
-0.0007358  0.0027102
-0.0011742  0.0030336
-0.0016886  0.0037079
-0.0019591  0.0037680
-0.0019151  0.0033901
-0.0022562  0.0029921
-0.0021395  0.0029973
-0.0026175  0.0020425
-0.0028489  0.0015855
-0.0026951  0.0010699
-0.0024472  0.0010114
-0.0026042  0.0012027
-0.0023806  0.0014127
-0.0024387  0.0015088
-0.0022878  0.0020284
-0.0024081  0.0022230
-0.0026737  0.0025719
-0.0030375  0.0026526
-0.0034207  0.0027516
-0.0035741  0.0026979
-0.0039169  0.0025659
-0.0042035  0.0023572
-0.0045487  0.0021480
-0.0043392  0.0021876
-0.0044365  0.0020548
-0.0043836  0.0019417
-0.0039843  0.0018868
-0.0038350  0.0015663
-0.0035798  0.0014516
-0.0033480  0.0012417
-0.0035592  0.0010313
-0.0034574  0.0007455
-0.0030137  0.0008198
-0.0028393  0.0005937
-0.0029123  0.0001742
-0.0029058 -0.0001500
-0.0031303 -0.0003389
-0.0031638 -0.0007055
-0.0032550 -0.0007463
-0.0034176 -0.0010572
-0.0034536 -0.0009466
-0.0032961 -0.0008013
-0.0034632 -0.0007525
-0.0031152 -0.0003589
-0.0028866 -0.0002544
-0.0026194 -0.0000166
-0.0026028 -0.0001761
-0.0019916 -0.0006805
-0.0016525 -0.0005509
-0.0011381 -0.0013588
-0.0005870 -0.0012821
-0.0001881 -0.0014722
 0.0003266 -0.0012611
 0.0006706 -0.0012796
 0.0010554 -0.0011105
 0.0010138 -0.0005763
 0.0009928 -0.0005009
 0.0015459 -0.0001569
 0.0013476  0.0004972
 0.0015119  0.0009603
 0.0018922  0.0012882
 0.0019620  0.0020553
 0.0021110  0.0027102
 0.0022249  0.0030001
 0.0018215  0.0037696
 0.0016455  0.0039704
 0.0014198  0.0041076
 0.0009397  0.0042098
 0.0010379  0.0040657
 0.0010988  0.0036887
 0.0011949  0.0032341
 0.0012151  0.0027976
 0.0017521  0.0028772
 0.0018131  0.0025942
 0.0022750  0.0027295
 0.0023925  0.0026552
 0.0024914  0.0025809
 0.0019415  0.0020815
 0.0015410  0.0016208
 0.0007429  0.0014871
 0.0001320  0.0005658
-0.0008245  0.0000433
-0.0013651 -0.0002074
-0.0016913 -0.0007832
-0.0021040 -0.0005010
-0.0020689 -0.0009576
-0.0021444 -0.0008998
-0.0027924 -0.0005967
-0.0029603 -0.0003677
-0.0033906 -0.0004877
-0.0036502 -0.0002475
-0.0044859 -0.0001942
-0.0046930 -0.0003529
-0.0053410 -0.0005891
-0.0057993 -0.0009727
-0.0061816 -0.0008976
-0.0061626 -0.0008447
-0.0066617 -0.0009421
-0.0067586 -0.0011415
-0.0067396 -0.0009700
-0.0064566 -0.0012094
-0.0063964 -0.0015393
-0.0057464 -0.0009862
-0.0054404 -0.0007367
-0.0051509 -0.0009139
-0.0051315 -0.0004141
-0.0052853 -0.0000116
-0.0057811 -0.0000152
-0.0060859 -0.0001311
-0.0068216 -0.0003624
-0.0071095 -0.0004242
-0.0075540 -0.0008441
