          D5   _TRIMLEV       INTR       INTI     INTABS    _ITC_R1     _ITC_V
      2E-005 1.5185546875    -36.704      6.932 37.3528612023229     102.52      23.56
  2.8141E-005 1.85546875    -36.349       7.32 37.0787297651902     102.52      23.56
  3.9596E-005 1.923828125    -35.116       7.26 35.8586259636367     102.52      23.56
  5.5714E-005 1.8798828125    -33.275      7.546 34.1199024177972     102.52      23.56
  7.8393E-005 1.8701171875    -30.927      7.358 31.7902421035135     102.52      23.56
  0.000110303 1.8603515625    -28.753      6.662 29.514695543068     102.52      23.56
  0.000155202 1.85546875    -22.551      5.307 23.1670423230934     102.52      23.56
  0.000218378 1.85546875    -17.987      4.944 18.6540961989586     102.52      23.56
  0.000307271 1.8603515625    -12.143      3.779 12.7174403871219     102.52      23.56
  0.000432347 1.85546875     -3.577      3.121 4.74716441678609     102.52      23.56
    0.000608 1.8603515625      6.369      1.374 6.51552277257934     102.52      23.56
    0.000856 1.85546875     17.253   0.144066 17.2536014794696     102.52      23.56
    0.001204 1.85546875     27.403     -2.106 27.4838069597354     102.52      23.56
    0.001695 1.85546875     38.295     -3.308 38.4376103445571     102.52      23.56
    0.002384 1.8505859375     48.795     -3.989 48.9577792184245     102.52      23.56
    0.003355 1.8505859375     56.191     -5.106 56.422510729318     102.52      23.56
    0.004721 1.85546875     62.889      -5.16 63.1003321782065     102.52      23.56
    0.006642 1.8505859375     68.314     -6.233 68.5977615159562     102.52      23.56
    0.009346 1.8505859375     72.343     -6.616 72.644897308758     102.52      23.56
    0.013151 1.8505859375     75.747     -6.591 76.0332117564423     102.52      23.56
    0.018504 1.85546875     77.747     -6.611 78.0275677565308     102.52      23.56
    0.026036 1.8505859375     78.621      -6.41 78.8818720683022     102.52      23.56
    0.036634 1.85546875     79.571     -7.666 79.939424547591     102.52      23.56
    0.051546 1.85546875     78.956     -6.786 79.2470802742915     102.52      23.56
    0.072528 1.85546875     80.019     -7.452 80.3652453800771     102.52      23.56
     0.10205 1.865234375     80.089     -7.499 80.4393120433038     102.52      23.56
    0.143591 1.8603515625     79.621     -7.556 79.9787270278791     102.52      23.56
     0.20204 1.8603515625      79.43     -6.823 79.7225076687882     102.52      23.56
    0.284282      1.875     79.914     -7.179 80.2358114372878     102.52      23.56
         0.4 1.8798828125     80.005     -6.771 80.2910111158154     102.52      23.56
