          D5   _TRIMLEV       INTR       INTI     INTABS    _ITC_R1     _ITC_V
      2E-005 1.6552734375      -1.11      0.703 1.31389078693779         40       4.91
  2.7006E-005 2.91015625   0.175212   0.008624 0.175424109859506         40       4.91
  3.6467E-005 2.91015625      0.795      0.924 1.21893437066973         40       4.91
  4.9242E-005 2.91015625      1.978      2.004 2.81575922266091         40       4.91
  6.6492E-005 2.9150390625       3.21      3.323 4.62021958352631         40       4.91
  8.9785E-005 2.9150390625      4.359      4.271 6.10264876918212         40       4.91
  0.000121238 2.9150390625      5.572      5.616 7.91117184745724         40       4.91
  0.000163709 2.919921875      6.671      6.603 9.38625857304176         40       4.91
  0.000221059 2.9248046875      7.407      7.559 10.5831058768208         40       4.91
  0.000298499 2.9248046875      8.664      8.569 12.1857563162899         40       4.91
  0.000403068 2.919921875      9.134      9.222 12.9798012311437         40       4.91
    0.000544 2.9248046875      9.908      9.981 14.0637415007529         40       4.91
    0.000735 2.9248046875     10.423      10.16 14.5555669418955         40       4.91
    0.000992 2.9248046875     10.519     10.568 14.9108009509885         40       4.91
     0.00134 2.9248046875     10.673     10.979 15.3118049229998         40       4.91
    0.001809 2.9248046875     11.167     10.615 15.4071449009867         40       4.91
    0.002443  2.9296875     11.186     10.758 15.5197023167328         40       4.91
    0.003299  2.9296875     10.923     10.633 15.2437730893634         40       4.91
    0.004455  2.9296875     11.116     10.877 15.5523176729387         40       4.91
    0.006016  2.9296875     10.927      10.86 15.4058082877855         40       4.91
    0.008123 2.9248046875     11.072     10.866 15.5131924502986         40       4.91
    0.010969  2.9296875     11.081     11.033 15.6369961949218         40       4.91
    0.014811  2.9296875     10.749     11.056 15.4199914721118         40       4.91
        0.02  2.9296875      7.439      7.908 10.8570338951299         40       4.91
