[PARAMETERS]
DW=1E-007
TAU=0.0001
TD=4096
BS=4096
NS=256
NSC=256
FR=56.120000
GAIN=4.974204
D0=0.05
D1=5E-006
D2=1E-005
D3=2.5E-005
D4=1E-005
D5=0.0307773604478215
D6=0.001
D7=0.001
D8=0.001
D9=0.03
C0=1
SEGTD=0
SEGOFF=0
SEGNUM=0
[ADDITIONAL]
PPFILE=ZG_three_T1.PC
DATEWR=27.09.2024
TIMEWR=13:41:58
DATESTA=27.09.2024
TIMESTA=13:41:41
DATEEND=27.09.2024
TIMEEND=13:41:58
CURR_Z0=0
CURR_Z1=1
TE=-1
[VARIABLES]
_USER=Measurements
_EMAIL_F=7NMR.NMR-270-ijs.si
_ITC_H=1
_ITC_R0= 65.00
_ITC_R1= 64.99
_ITC_R2= 65.79
_ITC_R3=  0.00
_ITC_R4= -0.01
_ITC_V=  9.42
_ITC_X=X0A1C1S00H1
_FW=100
_ORIENT=?
_THETA=0
_TITLE=?
_DESCR1=?
_DESCR2=?
_FR_LARM=56.12000000
_FR_SYNT=526.12000000
_TRIMLEV=1.6015625
_DATE=27.09.2024
_TIME=13:35:44
[PPFILE]
; three pulses for T_1 experiment

DELAY 1m
PULSE [GT] 3u
PULSE [PHL3,GT] D2
DELAY D5-3u
PULSE [GT] 3u
PULSE [PHL1,GT] D1
DELAY TAU-3u
PULSE [GT] 3u
PULSE [PHL2,GT] 2*D1
DELAY TAU-D3
PULSE [TR] 1u+DW
DELAY D9
STOP

PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y] [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
PHL 2 [+Y] [-Y] [-Y] [+Y] [-X] [+X] [+X] [-X] [+X] [-X] [-X] [+X] [-Y] [+Y] [+Y] [-Y]
PHL 3 [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] 
[-X] [-X] [-X] [-X]
!RLS +X-X+X-X+Y-Y+Y-Y-X+X-X+X-Y+Y-Y+Y

;PHL 1 [+X] [-X] [+X] [-X]
;PHL 2 [+Y] [-Y] [-Y] [+Y]
;PHL 3 [+X] [-X] [+X] [-X]
;!RLS +X-X+X-X

;PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
;PHL 2 [+Y] [-Y] [-Y] [+Y] [-Y] [+Y] [+Y] [-Y]
;PHL 3 [+X] [-X] [-X] [+X] [+X] [-X] [-X] [+X]
;!RLS +X-X+X-X-Y+Y-Y+Y
[DATA]
-0.0027382  0.0031384
-0.0032560  0.0027363
-0.0036162  0.0028348
-0.0038053  0.0025784
-0.0039456  0.0025605
-0.0038729  0.0025155
-0.0037288  0.0027390
-0.0038115  0.0026907
-0.0035983  0.0026802
-0.0039831  0.0028237
-0.0044185  0.0024654
-0.0044105  0.0023431
-0.0047593  0.0017859
-0.0047232  0.0014116
-0.0046851  0.0011080
-0.0045318  0.0006675
-0.0046176  0.0002543
-0.0040217  0.0001592
-0.0037815 -0.0001551
-0.0035089 -0.0003899
-0.0034229 -0.0005233
-0.0035002 -0.0007145
-0.0038283 -0.0008191
-0.0040132 -0.0011796
-0.0039565 -0.0016461
-0.0042210 -0.0017232
-0.0042505 -0.0025370
-0.0039836 -0.0026316
-0.0036883 -0.0029290
-0.0033540 -0.0031963
-0.0031719 -0.0030122
-0.0029533 -0.0028571
-0.0027407 -0.0026607
-0.0028180 -0.0025589
-0.0028652 -0.0024880
-0.0025081 -0.0024821
-0.0022879 -0.0023158
-0.0018841 -0.0022421
-0.0014965 -0.0019177
-0.0012690 -0.0016333
-0.0012296 -0.0014290
-0.0008309 -0.0012215
-0.0006535 -0.0009563
-0.0004056 -0.0006494
-0.0001216 -0.0004584
 0.0000007 -0.0001415
 0.0002377  0.0002564
 0.0004868  0.0003840
 0.0004939  0.0007010
 0.0005239  0.0007795
 0.0007842  0.0006172
 0.0008036  0.0007754
 0.0008649  0.0006579
 0.0012972  0.0005390
 0.0017298  0.0006438
 0.0018455  0.0009187
 0.0023618  0.0013437
 0.0023150  0.0018052
 0.0027173  0.0021027
 0.0030054  0.0025265
 0.0031710  0.0030616
 0.0034413  0.0035907
 0.0034784  0.0040991
 0.0032911  0.0041453
 0.0034540  0.0043306
 0.0035101  0.0043024
 0.0033270  0.0042814
 0.0035531  0.0042832
 0.0038266  0.0041687
 0.0034118  0.0043799
 0.0034658  0.0043852
 0.0030136  0.0046064
 0.0027367  0.0049427
 0.0021131  0.0049363
 0.0017027  0.0051763
 0.0012131  0.0054151
 0.0011970  0.0055496
 0.0011576  0.0056336
 0.0011141  0.0060993
 0.0012279  0.0062127
 0.0009730  0.0063899
 0.0008024  0.0062712
 0.0005489  0.0060968
-0.0002719  0.0058218
-0.0007700  0.0054721
-0.0012597  0.0049567
-0.0018756  0.0043994
-0.0022412  0.0036040
-0.0024179  0.0031102
-0.0028699  0.0026225
-0.0029305  0.0020090
-0.0027888  0.0017520
-0.0026961  0.0017841
-0.0023122  0.0019466
-0.0020473  0.0023023
-0.0019522  0.0022617
-0.0016379  0.0022718
-0.0015251  0.0022557
-0.0014769  0.0024285
-0.0015061  0.0020870
-0.0014779  0.0021944
-0.0015372  0.0022137
-0.0015193  0.0020083
-0.0015176  0.0021044
-0.0015374  0.0020731
-0.0013701  0.0019060
-0.0012523  0.0022138
-0.0014027  0.0022231
-0.0011203  0.0019062
-0.0010139  0.0016940
-0.0010403  0.0013853
-0.0004882  0.0010125
-0.0001065  0.0010702
 0.0001915  0.0011142
 0.0003316  0.0013864
 0.0001874  0.0018770
 0.0001610  0.0020617
-0.0002692  0.0016975
-0.0004806  0.0015864
-0.0005767  0.0011439
-0.0005692  0.0008986
-0.0002605  0.0008837
 0.0000845  0.0008051
 0.0003257  0.0009937
 0.0005405  0.0013374
 0.0009455  0.0017860
 0.0011779  0.0020619
 0.0014773  0.0025099
 0.0017286  0.0027687
 0.0021866  0.0030259
 0.0024164  0.0034556
 0.0026370  0.0037068
 0.0024265  0.0038889
 0.0025593  0.0043487
 0.0022426  0.0044925
 0.0019064  0.0049889
 0.0018485  0.0055426
 0.0018761  0.0058208
 0.0016375  0.0060951
 0.0018703  0.0067286
 0.0019466  0.0071505
 0.0019674  0.0075129
 0.0023801  0.0078583
 0.0027143  0.0084241
 0.0025155  0.0085474
 0.0027360  0.0087427
 0.0023914  0.0088787
 0.0021992  0.0089664
 0.0018358  0.0089993
 0.0015391  0.0090397
 0.0010416  0.0090231
 0.0006589  0.0093193
 0.0002368  0.0095472
 0.0000153  0.0097862
-0.0000838  0.0099745
-0.0002370  0.0098954
-0.0004601  0.0098631
-0.0000287  0.0099434
 0.0001503  0.0099913
 0.0004009  0.0098029
 0.0008044  0.0102257
 0.0011496  0.0104282
 0.0011985  0.0108587
 0.0017524  0.0107822
 0.0019135  0.0111072
